dataset,model,lambda,rp3_beta,graph_source,normalise,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,100.0,q2,4520,0.00030112811835917387,0.0005498569768481274,0.0022123893805309734,0.0008606846809598126,0.0022281123497937655,0.005309734513274336
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,100.0,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,100.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,100.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,200.0,overall,5957,0.1186454783946251,0.07885487437737017,0.5029377203290247,0.12874741103183834,0.13128331000742732,0.6471378210508645
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,200.0,q1,5787,0.13063391748865558,0.10856825124787042,0.5177121133575255,0.14948775707150774,0.1821832783502431,0.6658026611370312
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,200.0,q2,4520,2.878908923245587e-05,5.5309734513274336e-05,0.00022123893805309734,0.00018912345362515458,0.0005420353982300885,0.0015486725663716814
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,200.0,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,200.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,200.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,500.0,overall,5957,0.11326204582870704,0.06807265777387984,0.47255329864025514,0.11988695016518093,0.1132919775626163,0.6130602652341782
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,500.0,q1,5787,0.12264228092201222,0.09087408135576416,0.4864351131847244,0.13669026172758905,0.153724912262692,0.6310696388456886
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,500.0,q2,4520,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,500.0,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,500.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,500.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,1000.0,overall,5957,0.10761220234735283,0.06303609621613346,0.4487157965418835,0.11199864237480718,0.10254516567108907,0.5801577975491019
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,1000.0,q1,5787,0.11568294579821613,0.08360819244583466,0.4618973561430793,0.1264031573671673,0.13736273323652265,0.5972006220839814
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,1000.0,q2,4520,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,1000.0,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
