dataset,lambda,rp3_beta,rp3_topK,graph_source,normalise,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,NDCG@20,MAP@20,HitRate@20,Recall@20,NDCG@k,MAP@k,HitRate@k,Recall@k,wilcoxon_stat_vs_EASE,wilcoxon_p_vs_EASE,wilcoxon_n_pairs_vs_EASE
ml-1m,500,0.6,200,rp3beta,sym,0.3,127.33613562583923,0.11378174080666079,0.054580692366850314,0.5076380728554641,0.08920095513861671,0.13042384068630214,0.05261210217377074,0.6818868557998993,0.15404755595869235,0.11378174080666079,0.054580692366850314,0.5076380728554641,0.08920095513861671,174209.0,0.00046466069638039805,5957
ml-1m,500,0.6,200,rp3beta,sym,1.0,126.83291840553284,0.11444280684004342,0.055028429684596494,0.5066308544569414,0.08905060548607943,0.13126003208535056,0.05295026367774053,0.6823904649991607,0.15464490919404505,0.11444280684004342,0.055028429684596494,0.5066308544569414,0.08905060548607943,656161.0,8.543944994767846e-06,5957
ml-1m,500,0.6,200,rp3beta,sym,3.0,128.05917096138,0.11642659878031784,0.05606230216145921,0.5125062951149908,0.09020785609133787,0.13234361326605343,0.053593886034837945,0.681551116333725,0.1546805905558233,0.11642659878031784,0.05606230216145921,0.5125062951149908,0.09020785609133787,1258220.0,2.3000520439273437e-09,5957
ml-1m,500,0.6,200,rp3beta,sym,10.0,128.54457259178162,0.11843408553821233,0.05774312881880909,0.5104918583179453,0.08938239769503824,0.1333616928809986,0.054604485513989824,0.6770186335403726,0.15261492840036875,0.11843408553821233,0.05774312881880909,0.5104918583179453,0.08938239769503824,1798984.0,6.847547861856498e-10,5957
ml-1m,500,0.6,200,rp3beta,sym,30.0,128.50665068626404,0.120714972044924,0.05899332284813652,0.5128420345811651,0.08817800986064958,0.1339077521940215,0.05489547760992091,0.6724861507470203,0.14836892368422552,0.120714972044924,0.05899332284813652,0.5128420345811651,0.08817800986064958,2241818.0,1.1095752424774054e-11,5957
ml-1m,500,0.6,200,rp3beta,sym,50.0,127.49671864509583,0.12049834473516147,0.059007533460912635,0.5083095517878127,0.08611644984295251,0.133574472054432,0.05469704331443924,0.6692966258183649,0.1458033750987501,0.12049834473516147,0.059007533460912635,0.5083095517878127,0.08611644984295251,2410469.5,3.4600334595094325e-09,5957
ml-1m,500,0.6,200,rp3beta,sym,75.0,129.0494520664215,0.12121446696287087,0.05931302779942236,0.5098203793855968,0.0844267659827056,0.1330888501989318,0.054661959961631736,0.6630854456941413,0.14218486038229097,0.12121446696287087,0.05931302779942236,0.5098203793855968,0.0844267659827056,2543511.5,1.2966792429303415e-09,5957
ml-1m,500,0.6,200,rp3beta,sym,100.0,128.82278490066528,0.12112825157456958,0.05930337314857427,0.5079738123216384,0.08331419671695979,0.13287987942629423,0.05446454548947043,0.6622460970287057,0.14091397911380033,0.12112825157456958,0.05930337314857427,0.5079738123216384,0.08331419671695979,2634024.0,1.0767305779813353e-08,5957
ml-1m,500,0.6,200,rp3beta,sym,200.0,128.16697764396667,0.11964535890885324,0.05876462428647434,0.5027698505959376,0.0788888056780524,0.12969415061876585,0.05323908252141418,0.6484807789155616,0.1318286461645609,0.11964535890885324,0.05876462428647434,0.5027698505959376,0.0788888056780524,2960467.5,3.835203492834758e-05,5957
ml-1m,500,0.6,200,rp3beta,sym,500.0,128.72852206230164,0.11355950380247011,0.056287216463939325,0.4749034749034749,0.06852097555851848,0.12001133006740076,0.04934382373345839,0.6128923955010912,0.11372443995261197,0.11355950380247011,0.056287216463939325,0.4749034749034749,0.06852097555851848,3322170.0,0.6449010072029105,5957
ml-1m,500,0.6,200,rp3beta,sym,1000.0,127.4354739189148,0.10811600752946797,0.05344792776784051,0.45022662413966763,0.06360417920449192,0.11199010078576609,0.04575688853124982,0.5793184488836662,0.10213429612691044,0.10811600752946797,0.05344792776784051,0.45022662413966763,0.06360417920449192,3261064.0,0.01454217792840587,5957
