dataset,seed,family,config,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,1,SVD-AE,"filt=turbo_cf,k=64",272.976717710495,0.31778594117710085,0.18904491761492892,0.8516483516483516,0.1971344147042946,0.27488290398126464,0.6925347992440645,2.5316551691545532,0.32187014420823107,0.1687959446576632,0.9182484182484183,0.2948001980478391,0.34660421545667447,0.6828340578340579,2.684072389321911,0.31778594117710085,0.18904491761492892,0.8516483516483516,0.1971344147042946,0.27488290398126464,0.6925347992440645,2.5316551691545532,4144336.0,3.787101697771904e-122,6006,-1,-0.04456294631430862,-0.015711895704843715
ml-1m,1,SVD-AE,"filt=turbo_cf,k=128",270.6385245323181,0.2678499559828705,0.14937902755575658,0.8175158175158175,0.16901479215694717,0.33079625292740045,0.6289457150519098,2.8674741412308804,0.2754687580115197,0.134238951837286,0.8971028971028971,0.25962682770793766,0.4112997658079625,0.6394534646847814,2.967948880704971,0.2678499559828705,0.14937902755575658,0.8175158175158175,0.16901479215694717,0.33079625292740045,0.6289457150519098,2.8674741412308804,2746842.5,0.0,6006,-1,-0.09449893150853897,-0.07430709205058356
ml-1m,1,SVD-AE,"filt=turbo_cf,k=256",271.1794557571411,0.2110496782621586,0.10960154455123275,0.7525807525807526,0.135469362148786,0.4203747072599532,0.5778657507766143,3.25680353775897,0.21736404068306722,0.09779193441179018,0.847985347985348,0.2063524955874679,0.4979508196721312,0.5898578395932894,3.319979134618214,0.2110496782621586,0.10960154455123275,0.7525807525807526,0.135469362148786,0.4203747072599532,0.5778657507766143,3.25680353775897,1832404.5,0.0,6006,-1,-0.15129920922925086,-0.1302920063620262
ml-1m,1,L3AE,alpha_S=0.1,129.79411339759827,0.3629152936898216,0.22880638297517553,0.8771228771228772,0.22316408189829315,0.3185011709601874,0.763475617519735,2.388362194409573,0.3640330654012068,0.20304990737855333,0.9358974358974359,0.32836895591450277,0.40895784543325525,0.7544697845699995,2.5582945918653026,0.3629152936898216,0.22880638297517553,0.8771228771228772,0.22316408189829315,0.3185011709601874,0.763475617519735,2.388362194409573,367859.5,0.05724790404453985,6006,1,0.0005664061984121882,0.0
ml-1m,1,L3AE,alpha_S=1.0,132.80711770057678,0.36355213491871846,0.22913713407194133,0.8779553779553779,0.22365726807131545,0.32903981264637,0.7678506843097592,2.3950077173336033,0.3643460492663773,0.20314478144537612,0.936063936063936,0.3287007585360845,0.4259367681498829,0.7599689886287824,2.5686272236797705,0.36355213491871846,0.22913713407194133,0.8779553779553779,0.22365726807131545,0.32903981264637,0.7678506843097592,2.3950077173336033,845347.5,0.003755515655865275,6006,1,0.0012032474273089492,0.0
ml-1m,1,L3AE,alpha_S=5.0,130.55367827415466,0.3634604974630026,0.2289955500953233,0.8774558774558775,0.2237082621023927,0.3387002341920375,0.7714616699923529,2.4025279817298375,0.36419084361778187,0.20298765679735073,0.9363969363969364,0.32854388694690667,0.4414519906323185,0.7647107423964188,2.5795791612360834,0.3634604974630026,0.2289955500953233,0.8774558774558775,0.2237082621023927,0.3387002341920375,0.7714616699923529,2.4025279817298375,1147005.5,0.008639661785156382,6006,1,0.0011116099715930406,0.0
ml-1m,2,EASE,baseline,128.45499348640442,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,,,0,0,,
ml-1m,2,DAN,alpha=0.0,126.41952681541443,0.002454843490213521,0.0006767255104474737,0.023817455029980013,0.0023064017501896648,0.30562060889929743,0.8133477107215881,9.031983006863015,0.004017675280445951,0.0007946434814543041,0.05812791472351766,0.005900284377676289,0.4648711943793911,0.7968928250184177,8.549140022903202,0.002454843490213521,0.0006767255104474737,0.023817455029980013,0.0023064017501896648,0.30562060889929743,0.8133477107215881,9.031983006863015,10335.0,0.0,6004,-1,-0.35640986166151567,-0.3452348591777565
ml-1m,2,DAN,alpha=0.25,125.93234753608704,0.1786755585671439,0.08893641473417654,0.6988674217188541,0.11867091222474904,0.4268149882903981,0.7290896832381522,3.2628464633440126,0.18932837965932495,0.08109119959579489,0.8251165889407062,0.18617240781528066,0.5283957845433255,0.7352369888218564,3.293329219682426,0.1786755585671439,0.08893641473417654,0.6988674217188541,0.11867091222474904,0.4268149882903981,0.7290896832381522,3.2628464633440126,1447792.0,0.0,6004,-1,-0.1801891465845852,-0.16716045496620227
ml-1m,2,DAN,alpha=0.5,125.44441962242126,0.29930526863639745,0.1790569664787597,0.8192871419053964,0.17600769198252958,0.1952576112412178,0.8365302192341537,2.0728578989106445,0.29394737550946276,0.153016123964866,0.8889073950699533,0.25576700864050683,0.25234192037470726,0.837960134079214,2.166417376963958,0.29930526863639745,0.1790569664787597,0.8192871419053964,0.17600769198252958,0.1952576112412178,0.8365302192341537,2.0728578989106445,3773734.0,2.2572284862240467e-175,6004,-1,-0.05955943651533167,-0.03961965942952794
ml-1m,2,DAN,alpha=0.75,129.28615522384644,0.2702926865590558,0.1600781517127911,0.7698201199200533,0.1491641136556949,0.08518735362997658,0.8624668319631128,1.6891248947679358,0.2616062444773824,0.13314871699069436,0.8502664890073285,0.21746907047863903,0.11621779859484778,0.8480888056157356,1.8225200689480747,0.2702926865590558,0.1600781517127911,0.7698201199200533,0.1491641136556949,0.08518735362997658,0.8624668319631128,1.6891248947679358,3181782.0,7.284268156933699e-261,6004,-1,-0.08857201859267334,-0.07336392209936002
ml-1m,2,DAN,alpha=1.0,132.9777102470398,0.24288387008956608,0.14063541132673119,0.7240173217854764,0.12920036863744025,0.04332552693208431,0.8198333993553846,1.5898156638344392,0.23532636167405752,0.11632400294107702,0.8149566955363091,0.19155577438541005,0.06411007025761124,0.7988237674122884,1.729227592027267,0.24288387008956608,0.14063541132673119,0.7240173217854764,0.12920036863744025,0.04332552693208431,0.8198333993553846,1.5898156638344392,2555248.5,0.0,6004,-1,-0.11598083506216307,-0.09785159463516042
ml-1m,2,SVD-AE,"filt=identity,k=64",156.16171550750732,0.3106733564046295,0.1834347160472006,0.8471019320453032,0.19278995765662724,0.2734192037470726,0.6873733713569967,2.5395397010025067,0.31614951469828617,0.16392427197650986,0.9157228514323784,0.29173768307044656,0.34250585480093676,0.6769217957259264,2.689040127547208,0.3106733564046295,0.1834347160472006,0.8471019320453032,0.19278995765662724,0.2734192037470726,0.6873733713569967,2.5395397010025067,4110884.0,1.0356970476504953e-136,6004,-1,-0.04819134874709965,-0.024569678138986348
ml-1m,2,SVD-AE,"filt=identity,k=128",156.33469104766846,0.2620769524504122,0.14522851448639515,0.8116255829447035,0.164382472829948,0.3255269320843091,0.6222337386586398,2.875773022659418,0.26832984935724447,0.12978518403111514,0.89290473017988,0.25029682194204345,0.4057377049180328,0.6351815480396428,2.9713705802319805,0.2620769524504122,0.14522851448639515,0.8116255829447035,0.164382472829948,0.3255269320843091,0.6222337386586398,2.875773022659418,2775356.5,0.0,6004,-1,-0.09678775270131693,-0.07652053540343257
ml-1m,2,SVD-AE,"filt=identity,k=256",156.2799301147461,0.20418548419879048,0.10602387975078008,0.7331778814123917,0.13049123577289082,0.41188524590163933,0.5632853624709799,3.2741076674473466,0.21001790492698838,0.09435600856467805,0.8387741505662891,0.19918617164504823,0.4874121779859485,0.5788125533928332,3.3336524511090073,0.20418548419879048,0.10602387975078008,0.7331778814123917,0.13049123577289082,0.41188524590163933,0.5632853624709799,3.2741076674473466,1847927.5,0.0,6004,-1,-0.15467922095293865,-0.13342986097582615
ml-1m,2,SVD-AE,"filt=turbo_cf,k=64",280.9535562992096,0.3134694412398826,0.185622924139429,0.8487674883411059,0.19439622008663865,0.272248243559719,0.6893770461269548,2.5303166910993227,0.31889515120699735,0.16590386467019336,0.9177215189873418,0.29382447137254636,0.3474824355971897,0.6838709604997961,2.6813239407419265,0.3134694412398826,0.185622924139429,0.8487674883411059,0.19439622008663865,0.272248243559719,0.6893770461269548,2.5303166910993227,4196595.0,1.3521445841695665e-124,6004,-1,-0.04539526391184662,-0.019171313996584644
ml-1m,2,SVD-AE,"filt=turbo_cf,k=128",281.5319175720215,0.2656159989620556,0.14767793577692134,0.8151232511658895,0.1668329367417081,0.32728337236533955,0.628792194589415,2.861706174406939,0.27211059330369575,0.13209865158162729,0.8959027315123251,0.25425558068648724,0.41159250585480095,0.6433046058436149,2.9596574721590434,0.2656159989620556,0.14767793577692134,0.8151232511658895,0.1668329367417081,0.32728337236533955,0.628792194589415,2.861706174406939,2865998.5,3.5573817929932284e-303,6004,-1,-0.09324870618967356,-0.07336392209936005
ml-1m,2,SVD-AE,"filt=turbo_cf,k=256",276.79160737991333,0.209751267289079,0.10946503419698868,0.7423384410393071,0.134647339575936,0.4162763466042155,0.5722502157492755,3.2556457401646575,0.21587463442865476,0.09754303918349852,0.8469353764157228,0.2056398573726491,0.4950234192037471,0.5875425844627138,3.3179981861934373,0.209751267289079,0.10946503419698868,0.7423384410393071,0.134647339575936,0.4162763466042155,0.5722502157492755,3.2556457401646575,1924926.0,0.0,6004,-1,-0.14911343786265013,-0.12594902376755962
ml-1m,2,L3AE,alpha_S=0.1,125.04782748222351,0.35931888280336405,0.22479003974359746,0.8784143904063957,0.22233266547795574,0.3135245901639344,0.7605903565068044,2.387741132484959,0.36223851363891924,0.2006886883404282,0.939873417721519,0.3294831274819246,0.4107142857142857,0.757091482846076,2.5536561108283333,0.35931888280336405,0.22479003974359746,0.8784143904063957,0.22233266547795574,0.3135245901639344,0.7605903565068044,2.387741132484959,365434.0,0.012211467607259148,6004,1,0.0004541776516348654,0.0
ml-1m,2,L3AE,alpha_S=1.0,124.6699914932251,0.3599795133296176,0.22545672352638343,0.8782478347768155,0.22253124235058255,0.3237704918032787,0.7648857964491425,2.394403721422865,0.363271027559538,0.20146023822794934,0.9405396402398402,0.330592550813814,0.42769320843091335,0.762954391345765,2.562886616678494,0.3599795133296176,0.22545672352638343,0.8782478347768155,0.22253124235058255,0.3237704918032787,0.7648857964491425,2.394403721422865,858264.0,0.00018858665558742647,6004,1,0.0011148081778883988,0.0
ml-1m,2,L3AE,alpha_S=5.0,128.040114402771,0.3603196052618291,0.22565505557498491,0.8794137241838774,0.22292844888311808,0.33284543325526933,0.7683698701012578,2.4013310033624444,0.36369158324248496,0.20172699296261518,0.941039307128581,0.33122847836047686,0.4408665105386417,0.7666664454772516,2.572820020028951,0.3603196052618291,0.22565505557498491,0.8794137241838774,0.22292844888311808,0.33284543325526933,0.7683698701012578,2.4013310033624444,1167151.5,9.824860850910225e-05,6004,1,0.0014549001100998924,0.0
ml-1m,3,EASE,baseline,132.4492905139923,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611,0.4016393442622951,0.7525223895359858,2.551157214359107,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,,,0,0,,
ml-1m,3,DAN,alpha=0.0,129.5270757675171,0.00269609273076961,0.0007728078727718396,0.026110094794611675,0.0023745192433249442,0.305327868852459,0.792441719833936,8.983940496783775,0.004784692848699048,0.000971202959701458,0.06785298519873607,0.007059031450657657,0.4596018735362998,0.7797768846903894,8.515346140780048,0.00269609273076961,0.0007728078727718396,0.026110094794611675,0.0023745192433249442,0.305327868852459,0.792441719833936,8.983940496783775,6608.5,0.0,6013,-1,-0.3543661671358243,-0.33788625765431984
ml-1m,3,DAN,alpha=0.25,126.43441557884216,0.17594132953603328,0.08710797528970259,0.6958257109595876,0.1154065723767303,0.4274004683840749,0.729097024939116,3.2682087204137718,0.18705940061632723,0.07962116406073406,0.8188923998004324,0.1841059958009652,0.531615925058548,0.7368986872056213,3.2974137667865455,0.17594132953603328,0.08710797528970259,0.6958257109595876,0.1154065723767303,0.4274004683840749,0.729097024939116,3.2682087204137718,1349190.5,0.0,6013,-1,-0.1811209303305607,-0.1681522864689108
ml-1m,3,DAN,alpha=0.5,127.89337682723999,0.2919099715115244,0.17451733467006922,0.8079161816065192,0.1736453968405434,0.19613583138173302,0.83222957224521,2.0878361969206827,0.28745903686818863,0.14963127971923437,0.8769333111591552,0.2523690784205999,0.25263466042154564,0.8335783477243879,2.181412455044148,0.2919099715115244,0.17451733467006922,0.8079161816065192,0.1736453968405434,0.19613583138173302,0.83222957224521,2.0878361969206827,3430763.0,3.3477704747250216e-206,6013,-1,-0.06515228835506953,-0.0444061620977195
ml-1m,3,DAN,alpha=0.75,127.8594434261322,0.26864161584261675,0.16016715832103426,0.7620156327956095,0.14969633403812727,0.0857728337236534,0.8600910768420413,1.6971914270301522,0.2598781123478678,0.1332407698986252,0.8403459171794445,0.2173364545661314,0.11768149882903982,0.8478939081409846,1.8269870007745483,0.26864161584261675,0.16016715832103426,0.7620156327956095,0.14969633403812727,0.0857728337236534,0.8600910768420413,1.6971914270301522,3023470.5,4.5806703973884024e-266,6013,-1,-0.08842064402397713,-0.0694312219367772
