model,ease_lambda,rp3_beta,rp3_topK,gamma,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-GraphReg,200,0.6,200,0.3,8.815851926803589,3,0.3247829270270173,0.19643826372749026,0.8578080824879428,0.20268267889701316,0.5892857142857143,0.7759661980925745,2.8018352354946257,0.32932853257622574,0.1754860719175192,0.916015300182937,0.3044453954748632,0.7227751756440282,0.7743011984900812,2.9329374781830935,0.3247829270270173,0.19643826372749026,0.8578080824879428,0.20268267889701316,0.5892857142857143,0.7759661980925745,2.8018352354946257,3853981.5,9.200386572173476e-119,6013,-1,-0.037207001491290956,-0.010862081462402612
Hybrid-GraphReg,200,0.6,200,0.5,8.790333032608032,3,0.2998967888222959,0.1767658493416276,0.8355230334275736,0.19052490943997005,0.7008196721311475,0.7507641546907349,3.1399544397944967,0.30699002011847465,0.15919130332288692,0.9060369200066523,0.2879382481636379,0.8299180327868853,0.7485643891497875,3.2236866062813867,0.2998967888222959,0.1767658493416276,0.8355230334275736,0.19052490943997005,0.7008196721311475,0.7507641546907349,3.1399544397944967,3228408.5,1.2448131615208784e-214,6013,-1,-0.062093139696012316,-0.0349468915343453
Hybrid-GraphReg,200,0.6,200,1.0,8.773468494415283,3,0.2349275905128092,0.12907643209700556,0.758190587061367,0.15471834915411448,0.8460187353629977,0.6730642546685182,3.945949431320228,0.2473215708575111,0.11848378470457956,0.8617994345584566,0.2410905076254083,0.936768149882904,0.6633921763262931,3.9075529615284936,0.2349275905128092,0.12907643209700556,0.758190587061367,0.15471834915411448,0.8460187353629977,0.6730642546685182,3.945949431320228,1891918.0,0.0,6013,-1,-0.12706233800549907,-0.09872106453213353
Hybrid-GraphReg,500,0.6,200,0.01,8.72560429573059,3,0.3569940527401134,0.22506829370327508,0.8726093464160984,0.2188508207634335,0.3123536299765808,0.7591840920741704,2.3888438657141093,0.35813357732789963,0.19948010976014835,0.9248295360053218,0.32355386304859757,0.40837236533957844,0.7550998642725708,2.5544756467600154,0.3569940527401134,0.22506829370327508,0.8726093464160984,0.2188508207634335,0.3123536299765808,0.7591840920741704,2.3888438657141093,3718179.0,1.7771819733039233e-11,6013,-1,-0.004995875778194899,0.0
Hybrid-GraphReg,500,0.6,200,0.05,8.842292308807373,3,0.3572814911105151,0.22542808090030178,0.873607184433727,0.21911943661422414,0.3252341920374707,0.7620694914992914,2.4041476797309524,0.35842681169487733,0.19966251232819276,0.9246632296690503,0.3241588539875653,0.4230093676814988,0.7576472659871316,2.568732760372986,0.3572814911105151,0.22542808090030178,0.873607184433727,0.21911943661422414,0.3252341920374707,0.7620694914992914,2.4041476797309524,3882680.5,1.5632900120695407e-09,6013,-1,-0.00470843740779321,0.0
Hybrid-GraphReg,500,0.6,200,0.1,8.795536041259766,3,0.3571463937575268,0.2253111980605388,0.873607184433727,0.21922722886609083,0.34045667447306793,0.7652611946114458,2.422365336302648,0.35865519820563163,0.19979815596898073,0.9263262930317645,0.32453848326912765,0.452576112412178,0.7661016267255358,2.5880656379056033,0.3571463937575268,0.2253111980605388,0.873607184433727,0.21922722886609083,0.34045667447306793,0.7652611946114458,2.422365336302648,4000606.5,7.318961046660649e-10,6013,-1,-0.004843534760781484,0.0
Hybrid-GraphReg,500,0.6,200,0.3,8.850625276565552,3,0.35304868469510337,0.22177943228279604,0.8726093464160984,0.2172620198359178,0.43559718969555034,0.7833049003145514,2.530736720751154,0.35535538587768656,0.1969976117547976,0.9254947613504074,0.32316283538831253,0.5673302107728337,0.784019582957256,2.6916636189116443,0.35304868469510337,0.22177943228279604,0.8726093464160984,0.2172620198359178,0.43559718969555034,0.7833049003145514,2.530736720751154,4358662.5,4.901800820342704e-19,6013,-1,-0.00894124382320488,0.0
Hybrid-GraphReg,500,0.6,200,0.5,8.738898515701294,3,0.3450191678633852,0.214855378774937,0.866788624646599,0.21302874031883928,0.5166861826697893,0.7814022969119316,2.6752850800698194,0.34865143340077914,0.19134159061307052,0.9239980043239647,0.319210505445858,0.6492974238875878,0.7800635743085653,2.8228646204586356,0.3450191678633852,0.214855378774937,0.866788624646599,0.21302874031883928,0.5166861826697893,0.7814022969119316,2.6752850800698194,4396180.0,2.1843039788073942e-40,6013,-1,-0.016970760654923023,0.0
Hybrid-GraphReg,500,0.6,200,1.0,8.759384393692017,3,0.31395695493845255,0.18897300665158298,0.8464992516214868,0.19708471520281665,0.6586651053864169,0.7485468004508748,3.0901940785318165,0.321088903179989,0.16990930122319717,0.9125228671212373,0.2999219909291831,0.7860070257611241,0.7468199286400261,3.181932256674525,0.31395695493845255,0.18897300665158298,0.8464992516214868,0.19708471520281665,0.6586651053864169,0.7485468004508748,3.0901940785318165,3765065.5,3.1527385093582757e-145,6013,-1,-0.04803297357985576,-0.017107918043312215
Hybrid-GraphReg,200,0.6,200,0.01,8.733471632003784,4,0.3446967426772444,0.21176016588077246,0.8684648684648685,0.21642994586019612,0.3594847775175644,0.7514587475499528,2.474384109429656,0.34834491110473703,0.19024395614166076,0.9274059274059274,0.31786090251472005,0.44642857142857145,0.7436691505216095,2.633871322090708,0.3446967426772444,0.21176016588077246,0.8684648684648685,0.21642994586019612,0.3594847775175644,0.7514587475499528,2.474384109429656,4032624.0,1.4722359574181353e-79,6006,-1,-0.02238567965495679,0.0
