model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Matrix,0.3,500,0.6,200,0,q5,693,0.000910432544836158,0.001443001443001443,0.001443001443001443,0.000910432544836158,0.001443001443001443,0.001443001443001443
Hybrid-Matrix,0.5,500,0.6,200,0,overall,6008,0.34061057984461096,0.21126442739809967,0.8690079893475366,0.33962919558773214,0.3051994420192125,0.9282623169107856
Hybrid-Matrix,0.5,500,0.6,200,0,q1,5945,0.35997202821190316,0.2686930035700164,0.8713204373423045,0.3742347484788544,0.38772798524251345,0.9310344827586207
Hybrid-Matrix,0.5,500,0.6,200,0,q2,4408,0.007648041900553565,0.013746741134445307,0.025181488203266787,0.012372003578909675,0.029188361799523325,0.051497277676950996
Hybrid-Matrix,0.5,500,0.6,200,0,q3,2895,0.002735934723877716,0.0055999671025577765,0.008635578583765112,0.003904390668054103,0.00910491542615895,0.015889464594127805
Hybrid-Matrix,0.5,500,0.6,200,0,q4,1659,0.0012075047110602305,0.002109704641350211,0.0024110910186859553,0.0017996245512619433,0.0043198714084790035,0.0054249547920434
Hybrid-Matrix,0.5,500,0.6,200,0,q5,693,0.000910432544836158,0.001443001443001443,0.001443001443001443,0.000910432544836158,0.001443001443001443,0.001443001443001443
Hybrid-Matrix,0.7,500,0.6,200,0,overall,6008,0.35450761579623563,0.22078133302566813,0.8776631158455392,0.35442551128791006,0.32030625291332454,0.9364181091877497
Hybrid-Matrix,0.7,500,0.6,200,0,q1,5945,0.3739072745427224,0.2808344540499187,0.8795626576955424,0.3892813075501353,0.40510462161811245,0.9377628259041211
Hybrid-Matrix,0.7,500,0.6,200,0,q2,4408,0.009762346714901535,0.017821198135399587,0.033802177858439204,0.01679994091695128,0.04055704262644009,0.07441016333938294
Hybrid-Matrix,0.7,500,0.6,200,0,q3,2895,0.0027805122214284014,0.005429722839049264,0.008981001727115717,0.004293937451867789,0.010028660650422308,0.017962003454231434
Hybrid-Matrix,0.7,500,0.6,200,0,q4,1659,0.0008908651057613019,0.0010046212577858149,0.0018083182640144665,0.001415737299176187,0.0027325698211774162,0.004219409282700422
Hybrid-Matrix,0.7,500,0.6,200,0,q5,693,0.0005582291590686026,0.001443001443001443,0.001443001443001443,0.0005582291590686026,0.001443001443001443,0.001443001443001443
Hybrid-Matrix,0.3,200,0.3,200,1,overall,6006,0.275204462694218,0.15981901559139286,0.7875457875457875,0.2691096075685985,0.23057204091906028,0.8684648684648685
Hybrid-Matrix,0.3,200,0.3,200,1,q1,5944,0.2929936609919798,0.2071961860559866,0.7950874831763123,0.29930781265476064,0.30000488187085267,0.8766823687752355
Hybrid-Matrix,0.3,200,0.3,200,1,q2,4502,0.0008310550973766835,0.0012772101288316305,0.0015548645046645935,0.001154201785556498,0.0024433585073300756,0.003553976010661928
Hybrid-Matrix,0.3,200,0.3,200,1,q3,2861,0.00025768967300109134,0.0005242922055225446,0.0006990562740300594,0.00025768967300109134,0.0005242922055225446,0.0006990562740300594
