model,ease_lambda,rp3_beta,rp3_topK,gamma,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-GraphReg,500,0.6,200,0.01,1,q2,4502,0.01228322380516355,0.022666828301295197,0.0519768991559307,0.02327957993512024,0.05537223369851509,0.13282985339848957
Hybrid-GraphReg,500,0.6,200,0.01,1,q3,2861,0.0018098649002118,0.004156472096003728,0.005592450192240475,0.004416680639547181,0.01300752191612031,0.02132121635791681
Hybrid-GraphReg,500,0.6,200,0.01,1,q4,1641,0.00016091902655246244,0.0003046922608165753,0.0006093845216331506,0.00031000528012846857,0.0009140767824497258,0.001218769043266301
Hybrid-GraphReg,500,0.6,200,0.01,1,q5,685,0.0,0.0,0.0,0.00035009119207026493,0.00145985401459854,0.00145985401459854
Hybrid-GraphReg,500,0.6,200,0.05,1,overall,6006,0.36196102828925425,0.22224786254623108,0.8762903762903763,0.3640813008900878,0.32830570998370784,0.9358974358974359
Hybrid-GraphReg,500,0.6,200,0.05,1,q1,5944,0.3817354825189246,0.28551134694360936,0.8773553162853297,0.3988281221751716,0.4173877884518468,0.9362382234185733
Hybrid-GraphReg,500,0.6,200,0.05,1,q2,4502,0.013280953105129367,0.023859730035230963,0.056419369169258105,0.024758529520274603,0.05827432961136096,0.14104842292314526
Hybrid-GraphReg,500,0.6,200,0.05,1,q3,2861,0.00227332917535755,0.004718144393957046,0.006990562740300594,0.005220681094889687,0.014592049470588443,0.02516602586508214
Hybrid-GraphReg,500,0.6,200,0.05,1,q4,1641,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506,0.0004287714424431074,0.001218769043266301,0.0018281535648994515
Hybrid-GraphReg,500,0.6,200,0.05,1,q5,685,0.0011487353944254236,0.00291970802919708,0.00291970802919708,0.0011487353944254236,0.00291970802919708,0.00291970802919708
Hybrid-GraphReg,500,0.6,200,0.1,1,overall,6006,0.36170291746660915,0.22225611730528547,0.8761238761238761,0.36405969772969465,0.3286870293591715,0.9362304362304362
Hybrid-GraphReg,500,0.6,200,0.1,1,q1,5944,0.3803372759446663,0.2844031930756976,0.8763458950201884,0.3973866950729145,0.41603167940144553,0.9365746971736204
Hybrid-GraphReg,500,0.6,200,0.1,1,q2,4502,0.01462157340481381,0.026029362617692568,0.06130608618391826,0.026844066732150364,0.062252873111661534,0.15082185695246558
Hybrid-GraphReg,500,0.6,200,0.1,1,q3,2861,0.0035398035231158,0.007448568170343773,0.01188395665851101,0.006408153335628214,0.017098873591358737,0.029709891646277527
Hybrid-GraphReg,500,0.6,200,0.1,1,q4,1641,0.00023574211287906254,0.0003046922608165753,0.0006093845216331506,0.0009966887178360377,0.0030469226081657527,0.0042656916514320535
Hybrid-GraphReg,500,0.6,200,0.1,1,q5,685,0.0023809193482795,0.00291970802919708,0.00291970802919708,0.0023809193482795,0.00291970802919708,0.00291970802919708
Hybrid-GraphReg,500,0.6,200,0.3,1,overall,6006,0.3583952619321143,0.22142216860224936,0.8776223776223776,0.36131532300883673,0.32719538251402175,0.9355644355644356
Hybrid-GraphReg,500,0.6,200,0.3,1,q1,5944,0.3728856517086072,0.28004830467891634,0.8733176312247645,0.3898687544338329,0.4088654581183359,0.9330417227456258
Hybrid-GraphReg,500,0.6,200,0.3,1,q2,4502,0.01981291866673442,0.03370296002560169,0.08862727676588184,0.03327196840858376,0.07362171653420885,0.1836961350510884
Hybrid-GraphReg,500,0.6,200,0.3,1,q3,2861,0.006971609853441451,0.013991658075894357,0.02551555400209717,0.011011299860589687,0.0271302519764596,0.050681579867179305
Hybrid-GraphReg,500,0.6,200,0.3,1,q4,1641,0.0020841142436941454,0.0044626268931793524,0.007921998781230956,0.0029133538052683668,0.007631426405671735,0.01157830591102986
Hybrid-GraphReg,500,0.6,200,0.3,1,q5,685,0.005288172495841199,0.0072992700729927005,0.0072992700729927005,0.005288172495841199,0.0072992700729927005,0.0072992700729927005
Hybrid-GraphReg,500,0.6,200,0.5,1,overall,6006,0.3481510865779319,0.2155423777951969,0.8696303696303697,0.35298671808086246,0.3220586919171999,0.9333999333999334
Hybrid-GraphReg,500,0.6,200,0.5,1,q1,5944,0.35808599382820877,0.26937283343496365,0.8628869448183042,0.3762574275189915,0.397799577853538,0.9283310901749664
Hybrid-GraphReg,500,0.6,200,0.5,1,q2,4502,0.024073854536536092,0.03884430402287622,0.10772989782318969,0.03896737973646593,0.08310930662535548,0.21123944913371834
Hybrid-GraphReg,500,0.6,200,0.5,1,q3,2861,0.010295250703132412,0.01957551523420527,0.03914715134568333,0.015216055105305933,0.035220151272798886,0.06780845858091576
Hybrid-GraphReg,500,0.6,200,0.5,1,q4,1641,0.003748961577901034,0.007001729066650813,0.010968921389396709,0.006016274981152257,0.01491319986326006,0.024984765386959172
