model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Score,0.3,200,0.3,200,2,q1,5935,0.37085585433619284,0.2794436318783366,0.8783487784330244,0.3852699468541777,0.40623283933567783,0.9383319292333614
Hybrid-Score,0.3,200,0.3,200,2,q2,4474,0.008652164815759221,0.01622744463602756,0.02749217702279839,0.013756004584191203,0.032961741916256886,0.05677246312025033
Hybrid-Score,0.3,200,0.3,200,2,q3,2899,0.0019903958119369476,0.004304166187574259,0.005864091065884788,0.003204734856033425,0.008514430263309187,0.011728182131769576
Hybrid-Score,0.3,200,0.3,200,2,q4,1585,0.0002103049421661409,0.0006309148264984228,0.0006309148264984228,0.00036465859649940653,0.0012618296529968455,0.0012618296529968455
Hybrid-Score,0.3,200,0.3,200,2,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.3,200,2,overall,6004,0.354549703985485,0.21875718036775238,0.8760826115922719,0.35504257695411334,0.3223879994524475,0.9362091938707529
Hybrid-Score,0.5,200,0.3,200,2,q1,5935,0.3746402096394072,0.28124875246057124,0.879022746419545,0.39082107000340105,0.4121644398396272,0.9383319292333614
Hybrid-Score,0.5,200,0.3,200,2,q2,4474,0.011628867337434259,0.021635475453778592,0.04023245417970496,0.019052487187176028,0.04543981363531802,0.08582923558337059
Hybrid-Score,0.5,200,0.3,200,2,q3,2899,0.0025875750082717305,0.005676286842206125,0.008278716798896172,0.0044035500755595725,0.012064915652359598,0.017592273197654364
Hybrid-Score,0.5,200,0.3,200,2,q4,1585,0.00039268022690928776,0.0012618296529968455,0.0012618296529968455,0.0006379250684147523,0.0022082018927444794,0.002523659305993691
Hybrid-Score,0.5,200,0.3,200,2,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.3,200,2,overall,6004,0.35204782720795086,0.21770965379226365,0.8769153897401732,0.35454152722723503,0.32222700173906993,0.9368754163890739
Hybrid-Score,0.7,200,0.3,200,2,q1,5935,0.3711202226091294,0.2793945794363735,0.8796967144060657,0.38837293185825955,0.409557368854721,0.9383319292333614
Hybrid-Score,0.7,200,0.3,200,2,q2,4474,0.013592131502216128,0.024886954563254706,0.05073759499329459,0.023267387938026768,0.054975050380459356,0.1200268216361198
Hybrid-Score,0.7,200,0.3,200,2,q3,2899,0.002873628733294227,0.006366179908780805,0.009658502932045532,0.005032013641180083,0.013498360135131436,0.02138668506381511
Hybrid-Score,0.7,200,0.3,200,2,q4,1585,0.0004002292296513025,0.0012618296529968455,0.0012618296529968455,0.0006517770736668679,0.0022082018927444794,0.002523659305993691
Hybrid-Score,0.7,200,0.3,200,2,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,200,0.6,200,2,overall,6004,0.3551605926801106,0.21961913067935043,0.8780812791472352,0.35413023924358106,0.32108870498263753,0.9397068620919387
Hybrid-Score,0.3,200,0.6,200,2,q1,5935,0.37547172747634,0.2822750650855231,0.8808761583824768,0.3899712357918832,0.410153505424406,0.9418702611625948
Hybrid-Score,0.3,200,0.6,200,2,q2,4474,0.010815534422247326,0.019547420368832974,0.0348681269557443,0.017035602639667757,0.03941894513386864,0.07063030844881538
Hybrid-Score,0.3,200,0.6,200,2,q3,2899,0.003269216363706456,0.005909536402809946,0.009313556398758192,0.00510231803216269,0.012051774832043892,0.018282166264229044
Hybrid-Score,0.3,200,0.6,200,2,q4,1585,0.0005836470130396335,0.0015772870662460567,0.0018927444794952682,0.0013117392091612364,0.004416403785488959,0.004416403785488959
Hybrid-Score,0.3,200,0.6,200,2,q5,666,0.0,0.0,0.0,0.00039436867122701736,0.0015015015015015015,0.0015015015015015015
Hybrid-Score,0.5,200,0.6,200,2,overall,6004,0.3587365476156837,0.22071646184224722,0.8780812791472352,0.3582870381590909,0.3241847670965588,0.9380413057961359
