model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Laplacian-EASE,500,0.3,200,50,sym,rp3beta,6.198683738708496,2,0.34011137627964716,0.21346521822543266,0.8471019320453032,0.19777005610910617,0.1525175644028103,0.7987212619609958,1.9960905263342659,0.3348562497276992,0.18328297480581843,0.9115589606928715,0.29127934664913446,0.2101873536299766,0.787608098779087,2.1537159244465003,0.34011137627964716,0.21346521822543266,0.8471019320453032,0.19777005610910617,0.1525175644028103,0.7987212619609958,1.9960905263342659,4761736.0,7.30105853037565e-56,6004,-1,-0.025018987484167136,0.0
Laplacian-EASE,500,0.3,200,75,sym,rp3beta,6.1998982429504395,2,0.3287740118471111,0.20433646832656618,0.8377748167888075,0.1892557764976482,0.12968384074941453,0.8015082495792873,1.9305134282830434,0.32291187032317575,0.17474814933071733,0.9005662891405729,0.2791995282731294,0.1832552693208431,0.7943332772826635,2.081978628893451,0.3287740118471111,0.20433646832656618,0.8377748167888075,0.1892557764976482,0.12968384074941453,0.8015082495792873,1.9305134282830434,4416337.0,1.0615442024102755e-91,6004,-1,-0.03635635191670318,-0.009645246727929768
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,6.212104797363281,2,0.31943916413617157,0.1973630568566534,0.8266155896069287,0.18245697994599727,0.11768149882903982,0.8099664900016903,1.8806282544161326,0.3130898696986995,0.16788257519819183,0.89290473017988,0.269463940187874,0.16247072599531617,0.7988581186116164,2.024982934767876,0.31943916413617157,0.1973630568566534,0.8266155896069287,0.18245697994599727,0.11768149882903982,0.8099664900016903,1.8806282544161326,4135537.0,2.685121989257416e-125,6004,-1,-0.04569119962764278,-0.019556901284105838
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,6.240694046020508,2,0.36370303337350085,0.22920999381721496,0.8810792804796802,0.22310931101710857,0.29361826697892274,0.7622954255155916,2.350499462793697,0.3658678894733905,0.20411384527676407,0.938707528314457,0.33122838277447103,0.3799765807962529,0.7544591612782028,2.516773885562826,0.36370303337350085,0.22920999381721496,0.8810792804796802,0.22310931101710857,0.29361826697892274,0.7622954255155916,2.350499462793697,2403969.5,6.794460168765112e-05,6004,-1,-0.0014273303903133978,0.0
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,6.357862949371338,2,0.36575618115099756,0.23192852493231608,0.880413057961359,0.22283848865550335,0.272248243559719,0.7687892301189889,2.301203590309745,0.36659128907099714,0.20541068202714993,0.9367088607594937,0.32977211417930613,0.35392271662763464,0.7577167055434233,2.4703199256467574,0.36575618115099756,0.23192852493231608,0.880413057961359,0.22283848865550335,0.272248243559719,0.7687892301189889,2.301203590309745,1448665.5,0.013215532761759503,6004,1,0.0006258173871832513,0.0
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,6.145967483520508,2,0.36354761772797367,0.23135939059754232,0.8745836109260493,0.2194093303567428,0.2338992974238876,0.781449621820747,2.2066893645246335,0.36180559948034996,0.20270650916192648,0.9322118587608261,0.3222745433561805,0.30415690866510536,0.7640772850182007,2.3766402720991167,0.36354761772797367,0.23135939059754232,0.8745836109260493,0.2194093303567428,0.2338992974238876,0.781449621820747,2.2066893645246335,4855916.5,0.02556078804090512,6004,-1,-0.001582746035840653,0.0
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,6.253333568572998,2,0.3504637364889833,0.2217939026151458,0.8592604930046636,0.20634864386712337,0.18237704918032788,0.7901296406996725,2.0835646692111447,0.34652611594864474,0.19185507028345802,0.9217188540972685,0.30349861954113944,0.24912177985948478,0.779070318181925,2.2474232501412588,0.3504637364889833,0.2217939026151458,0.8592604930046636,0.20634864386712337,0.18237704918032788,0.7901296406996725,2.0835646692111447,5032734.0,1.3384720413238491e-28,6004,-1,-0.014666627274830958,0.0
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,6.2658531665802,2,0.3402188988207728,0.213628821914558,0.847601598934044,0.19786480688930036,0.1592505854800937,0.7975851883058351,2.0153338127878615,0.33551384682017715,0.1836570751992432,0.9140572951365756,0.29225659764059475,0.22014051522248243,0.7876550163366267,2.1740879386391136,0.3402188988207728,0.213628821914558,0.847601598934044,0.19786480688930036,0.1592505854800937,0.7975851883058351,2.0153338127878615,4749212.0,3.07387586019114e-57,6004,-1,-0.024911464943041525,0.0
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,6.258875131607056,2,0.33009271832705944,0.2053703661739574,0.8392738174550299,0.19038073505545028,0.13875878220140514,0.8019740707320295,1.9549312081614962,0.32463108298609844,0.17585717776735066,0.9037308461025982,0.2809776444075467,0.19291569086651053,0.7920847406736429,2.108283125358311,0.33009271832705944,0.2053703661739574,0.8392738174550299,0.19038073505545028,0.13875878220140514,0.8019740707320295,1.9549312081614962,4467238.0,2.0551269119710657e-89,6004,-1,-0.03503764543675488,-0.009743133900408263
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,6.197244167327881,2,0.3222080420831294,0.19928741837032637,0.8307794803464357,0.18457126061817522,0.12412177985948478,0.8049246257212175,1.9097638548544567,0.31580699541606905,0.16962587321818268,0.8955696202531646,0.27238477871571826,0.17359484777517564,0.7962647161588734,2.056948840320015,0.3222080420831294,0.19928741837032637,0.8307794803464357,0.18457126061817522,0.12412177985948478,0.8049246257212175,1.9097638548544567,4203888.0,2.6129727162850106e-115,6004,-1,-0.04292232168068485,-0.01633193835375099
