model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Matrix,0.5,200,0.6,200,1,q2,398,0.005670660805986725,0.01143305470978318,0.03015075376884422,0.010633747677000194,0.026405947972636304,0.07537688442211055
Hybrid-Matrix,0.5,200,0.6,200,1,q3,288,0.0013554862846947976,0.0008680555555555555,0.003472222222222222,0.003522854881466479,0.0080054012345679,0.017361111111111112
Hybrid-Matrix,0.5,200,0.6,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,200,0.6,200,1,q5,201,0.004783949254695185,0.00845771144278607,0.014925373134328358,0.0049648263093645326,0.008623548922056384,0.01990049751243781
Hybrid-Matrix,0.7,200,0.6,200,1,overall,603,0.29770893392875397,0.2043852104723934,0.7645107794361525,0.30358984894849705,0.3012849665184665,0.8590381426202321
Hybrid-Matrix,0.7,200,0.6,200,1,q1,594,0.3163606942646373,0.26223798532373277,0.7727272727272727,0.3355585465352328,0.386233371755945,0.867003367003367
Hybrid-Matrix,0.7,200,0.6,200,1,q2,398,0.008789538135965643,0.015076006865519844,0.04773869346733668,0.015786576594161723,0.03409664550512195,0.12562814070351758
Hybrid-Matrix,0.7,200,0.6,200,1,q3,288,0.0027055862808235778,0.004533179012345679,0.010416666666666666,0.004507255431699708,0.00904795821462488,0.03125
Hybrid-Matrix,0.7,200,0.6,200,1,q4,219,0.0,0.0,0.0,0.00017758988733847778,0.0002536783358701167,0.0045662100456621
Hybrid-Matrix,0.7,200,0.6,200,1,q5,201,0.0033665382584916605,0.006135986733001659,0.014925373134328358,0.004078646502039754,0.008623548922056384,0.01990049751243781
