model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,1,q1,594,0.3375720306156849,0.26512209779782026,0.7861952861952862,0.3558328966793754,0.3841876944075975,0.8619528619528619
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,1,q2,398,0.0011367932318192507,0.0017049533381191674,0.007537688442211055,0.0026298259424218577,0.006604450825556352,0.01507537688442211
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,1,q3,288,0.00045182876156493247,0.0008680555555555555,0.003472222222222222,0.00045182876156493247,0.0008680555555555555,0.003472222222222222
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,1,overall,603,0.29949187113447356,0.19286357857620126,0.7562189054726368,0.3036208891172771,0.28322248674894224,0.8407960199004975
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,1,q1,594,0.32374517513717377,0.25242985002354157,0.7676767676767676,0.34229653475343574,0.3704730273147588,0.8535353535353535
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,1,q2,398,0.00034532202627423475,0.00035893754486719307,0.002512562814070352,0.0009449462922155284,0.0018485283560660446,0.007537688442211055
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,1,q3,288,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
