model,ease_lambda,rp3_beta,rp3_topK,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-GraphReg,500,0.6,200,0.05,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,500,0.6,200,0.1,overall,5957,0.11255472960071938,0.08880019044011217,0.5029377203290247,0.1295068270475683,0.1534553574746314,0.6771865032734598
Hybrid-GraphReg,500,0.6,200,0.1,q1,5787,0.12369500271677838,0.12267596289564585,0.5066528425781925,0.147202755086529,0.2038290541129934,0.6773803352341455
Hybrid-GraphReg,500,0.6,200,0.1,q2,4520,0.007558658195226445,0.013721009077742756,0.032079646017699116,0.013830701583847178,0.03422833844936355,0.07831858407079646
Hybrid-GraphReg,500,0.6,200,0.1,q3,3059,0.002069078449299675,0.004369619701427481,0.006864988558352402,0.0039540096500449515,0.010722834071685962,0.016999019287348805
Hybrid-GraphReg,500,0.6,200,0.1,q4,1767,0.0,0.0,0.0,0.00044184145267037785,0.0015280135823429542,0.0022637238256932655
Hybrid-GraphReg,500,0.6,200,0.1,q5,775,0.0,0.0,0.0,0.00018012306305129096,0.0006451612903225806,0.0012903225806451613
Hybrid-GraphReg,500,0.6,200,0.3,overall,5957,0.11056216086245584,0.08767368855548807,0.49672654020480106,0.12698531388168482,0.15057688570155664,0.6671143192882323
Hybrid-GraphReg,500,0.6,200,0.3,q1,5787,0.11967122154497714,0.11893555966982222,0.49611197511664074,0.14218608391968698,0.19721804398417997,0.6630378434421981
Hybrid-GraphReg,500,0.6,200,0.3,q2,4520,0.008973647053192677,0.015313144209827496,0.03893805309734513,0.015384832933483708,0.0359180274922856,0.08805309734513274
Hybrid-GraphReg,500,0.6,200,0.3,q3,3059,0.0030059195989697632,0.005694333284485577,0.009480222294867604,0.005424128371788754,0.01354786790695384,0.02419091206276561
Hybrid-GraphReg,500,0.6,200,0.3,q4,1767,0.0007890764079672778,0.002112808903980381,0.003395585738539898,0.0019506857488050485,0.006319562346727032,0.009054895302773062
Hybrid-GraphReg,500,0.6,200,0.3,q5,775,0.0016229333426700028,0.0026588465298142717,0.005161290322580645,0.0025649404321100334,0.00689149560117302,0.01032258064516129
Hybrid-GraphReg,500,0.6,200,0.5,overall,5957,0.10649839173066179,0.08538418038984308,0.4826254826254826,0.12276298438002074,0.1467168029616195,0.6506630854456942
Hybrid-GraphReg,500,0.6,200,0.5,q1,5787,0.11358826512962211,0.11308544608483452,0.47710385346466216,0.13562899169545084,0.18907075406152857,0.642992915154657
Hybrid-GraphReg,500,0.6,200,0.5,q2,4520,0.009899905709933886,0.01692002235410269,0.04446902654867257,0.016572040070170088,0.0386100579638159,0.09491150442477876
Hybrid-GraphReg,500,0.6,200,0.5,q3,3059,0.003888039439261045,0.007638603080946356,0.013403072899640406,0.006455884452705608,0.015846431196572357,0.03040209218698921
Hybrid-GraphReg,500,0.6,200,0.5,q4,1767,0.001906447511405889,0.004570566200447355,0.007357102433503113,0.003895955853673512,0.011293017489961461,0.017543859649122806
Hybrid-GraphReg,500,0.6,200,0.5,q5,775,0.0030469790008062774,0.005601173020527859,0.00903225806451613,0.004173090617846485,0.010439882697947213,0.015483870967741935
Hybrid-GraphReg,500,0.6,200,1.0,overall,5957,0.09563367324055641,0.07708227533651876,0.44905153600805775,0.11192677854995378,0.13627047202745998,0.6152425717643109
Hybrid-GraphReg,500,0.6,200,1.0,q1,5787,0.0984020937766811,0.0971923360608331,0.43286677034733023,0.1196749116621097,0.16996107813094685,0.5951270088128564
Hybrid-GraphReg,500,0.6,200,1.0,q2,4520,0.011642160295948655,0.019045604688674205,0.05353982300884956,0.018411388478082272,0.04044260746194216,0.1081858407079646
Hybrid-GraphReg,500,0.6,200,1.0,q3,3059,0.0060660337491188114,0.011031850445427762,0.02124877410918601,0.00975490371063096,0.02341710430702455,0.04543968617195162
Hybrid-GraphReg,500,0.6,200,1.0,q4,1767,0.005613911739236165,0.012373817963130801,0.019241652518392757,0.008213423776454577,0.021108446718311788,0.0345217883418223
Hybrid-GraphReg,500,0.6,200,1.0,q5,775,0.006177653504802177,0.012246334310850442,0.01935483870967742,0.007234218765423507,0.016195503421309872,0.025806451612903226
