dataset,seed,family,alpha,n_iter,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,1,Retrofit,50.0,10,133.46478271484375,0.3588783778048566,0.22500232107587548,0.8757908757908758,0.2202996413077426,0.31820843091334894,0.7579867847577137,2.4122889944841615,0.3604272516429381,0.19971624865576218,0.9353979353979354,0.32513393254828576,0.4092505854800937,0.747736312328587,2.586448252898142,0.3588783778048566,0.22500232107587548,0.8757908757908758,0.2202996413077426,0.31820843091334894,0.7579867847577137,2.4122889944841615,3694095.5,1.1757771184399874e-05,6006,-1,-0.003470509686552836,0.0
ml-1m,1,Retrofit,100.0,3,130.16425609588623,0.36174683726288526,0.22768894667208162,0.8766233766233766,0.2223406246971214,0.3170374707259953,0.7602742594432346,2.39730534463907,0.36283713190451056,0.20198967308916016,0.9355644355644356,0.3272513922804217,0.40398126463700235,0.7491143156360549,2.568174058214157,0.36174683726288526,0.22768894667208162,0.8766233766233766,0.2223406246971214,0.3170374707259953,0.7602742594432346,2.39730534463907,2637221.0,0.38896317662674007,6006,-1,-0.0006020502285242278,0.0
ml-1m,1,Retrofit,100.0,5,131.24755263328552,0.36174611399664497,0.22768625095510012,0.8766233766233766,0.2223406246971214,0.3170374707259953,0.7602742594432346,2.39730534463907,0.36283689404902025,0.20198876297136775,0.9355644355644356,0.3272513922804217,0.40398126463700235,0.7491110459588721,2.56817962871084,0.36174611399664497,0.22768625095510012,0.8766233766233766,0.2223406246971214,0.3170374707259953,0.7602742594432346,2.39730534463907,2637178.0,0.38852605654267425,6006,-1,-0.0006027734947644988,0.0
ml-1m,1,Retrofit,100.0,10,133.40058827400208,0.36174611399664497,0.22768625095510012,0.8766233766233766,0.2223406246971214,0.3170374707259953,0.7602742594432346,2.39730534463907,0.36283689404902025,0.20198876297136775,0.9355644355644356,0.3272513922804217,0.40398126463700235,0.7491110459588721,2.56817962871084,0.36174611399664497,0.22768625095510012,0.8766233766233766,0.2223406246971214,0.3170374707259953,0.7602742594432346,2.39730534463907,2637178.0,0.38852605654267425,6006,-1,-0.0006027734947644988,0.0
ml-1m,2,EASE,0.0,0,133.3097960948944,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,,,0,0,,
ml-1m,2,Retrofit,5.0,3,130.02299904823303,0.26586872782607895,0.14836513577011481,0.8157894736842105,0.16831187019292462,0.3703161592505855,0.7542465760639152,2.8364462414095226,0.26173691228202595,0.12691986557867876,0.8917388407728182,0.24077271309384493,0.4833138173302108,0.742099048847306,3.141427599636009,0.26586872782607895,0.14836513577011481,0.8157894736842105,0.16831187019292462,0.3703161592505855,0.7542465760639152,2.8364462414095226,2431986.0,0.0,6004,-1,-0.09299597732565014,-0.06748080777953616
ml-1m,2,Retrofit,5.0,5,130.5091278553009,0.2685780825631957,0.15051477481460668,0.8167888074616922,0.17009362982218487,0.36768149882903983,0.7518057229363015,2.8273555880152896,0.2646193063112231,0.128852859713846,0.8942371752165224,0.24413736352383117,0.48243559718969553,0.7406333985271956,3.130878299266877,0.2685780825631957,0.15051477481460668,0.8167888074616922,0.17009362982218487,0.36768149882903983,0.7518057229363015,2.8273555880152896,2481011.5,0.0,6004,-1,-0.0902866225885334,-0.06510795920150335
ml-1m,2,Retrofit,5.0,10,132.56814098358154,0.2698249369397984,0.15153201838419134,0.8176215856095936,0.17069022296031688,0.3668032786885246,0.7514014333620629,2.822884847814658,0.26593275503314356,0.1298668115781829,0.8955696202531646,0.24514738350035,0.4809718969555035,0.7396636062872268,3.125299206287805,0.2698249369397984,0.15153201838419134,0.8176215856095936,0.17069022296031688,0.3668032786885246,0.7514014333620629,2.822884847814658,2497629.5,0.0,6004,-1,-0.0890397682119307,-0.06362078819895171
ml-1m,2,Retrofit,20.0,3,128.71751046180725,0.3411672583494424,0.20814725247626129,0.8729180546302465,0.21255854698136156,0.3240632318501171,0.7535019111017225,2.4717562666895563,0.34435010728855747,0.18467761480840778,0.9373750832778148,0.31716252097504505,0.428864168618267,0.7480166123608152,2.6545292108776404,0.3411672583494424,0.20814725247626129,0.8729180546302465,0.21255854698136156,0.3240632318501171,0.7535019111017225,2.4717562666895563,3998667.0,1.990200926591193e-52,6004,-1,-0.017697446802286725,0.0
ml-1m,2,Retrofit,20.0,5,129.31625366210938,0.3411352871560089,0.20811044266973946,0.8724183877415057,0.21254677801093935,0.32435597189695553,0.7534625231794929,2.4719431929771107,0.34442433426453045,0.1847262702527121,0.9372085276482345,0.3173207677147341,0.428864168618267,0.74801666920574,2.654128459203282,0.3411352871560089,0.20811044266973946,0.8724183877415057,0.21254677801093935,0.32435597189695553,0.7534625231794929,2.4719431929771107,3975837.5,9.929792592101287e-53,6004,-1,-0.017729417995720358,0.0
