dataset,seed,family,config,gamma,rho,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,1,Mahal,rw_g=1.0,1.0,0.0,133.13267421722412,0.36594061821247315,0.23188249436903066,0.8782883782883782,0.2240306011341533,0.3064988290398126,0.7654366963822552,2.3659813559031844,0.3676211502465984,0.20617911372491712,0.9370629370629371,0.3311400266259819,0.39607728337236536,0.7572584596974841,2.5333353354519046,0.36594061821247315,0.23188249436903066,0.8782883782883782,0.2240306011341533,0.3064988290398126,0.7654366963822552,2.3659813559031844,2191504.0,1.6478336371234356e-17,6006,1,0.003591730721063668,0.0
ml-1m,1,Mahal,rw_g=3.0,3.0,0.0,131.9618694782257,0.3682879907374482,0.23408927759693066,0.8787878787878788,0.22467120479608255,0.2968384074941452,0.7714009527618997,2.338106320362586,0.36951207848186607,0.20798585580076975,0.9372294372294372,0.3325187703394705,0.38934426229508196,0.7639045666113335,2.50752972203511,0.3682879907374482,0.23408927759693066,0.8787878787878788,0.22467120479608255,0.2968384074941452,0.7714009527618997,2.338106320362586,3857690.0,6.486253423721974e-17,6006,1,0.005939103246038702,0.0
ml-1m,1,Mahal,rw_g=10.0,10.0,0.0,129.98251748085022,0.3656943840748905,0.23286510297777305,0.8762903762903763,0.2219581089710822,0.28951990632318503,0.7865573927252392,2.2934123116486957,0.36662187504008054,0.20628040460414276,0.9343989343989344,0.32896678103712856,0.3785128805620609,0.7765590686704376,2.46291240266999,0.3656943840748905,0.23286510297777305,0.8762903762903763,0.2219581089710822,0.28951990632318503,0.7865573927252392,2.2934123116486957,5361304.0,0.0013311486284676188,6006,1,0.003345496583481114,0.0
ml-1m,1,Mahal,lowpass_g=1.0,1.0,0.0,131.19522738456726,0.36651203294975265,0.23224004283173783,0.8791208791208791,0.22463925394833847,0.3284543325526932,0.7735058465004989,2.382193720420851,0.3683564177290198,0.20687399142204344,0.9362304362304362,0.3314308084590685,0.43588992974238877,0.7710265333502406,2.552786309056733,0.36651203294975265,0.23224004283173783,0.8791208791208791,0.22463925394833847,0.3284543325526932,0.7735058465004989,2.382193720420851,2424607.5,8.263753723225752e-17,6006,1,0.004163145458343225,0.0
ml-1m,1,Mahal,lowpass_g=3.0,3.0,0.0,130.46655750274658,0.36825095535229324,0.2341737310466052,0.8796203796203796,0.22470980345140978,0.38846604215456676,0.8036477965641493,2.399019833146655,0.36979737985065564,0.20836876733390775,0.9368964368964369,0.3321681345094562,0.5152224824355972,0.7997961413586414,2.5728900824035437,0.36825095535229324,0.2341737310466052,0.8796203796203796,0.22470980345140978,0.38846604215456676,0.8036477965641493,2.399019833146655,4096596.5,1.2156634361945087e-14,6006,1,0.005902067860883746,0.0
ml-1m,1,Mahal,lowpass_g=10.0,10.0,0.0,132.42300844192505,0.3629426908565958,0.230602713901325,0.8711288711288712,0.22008185679996986,0.4868266978922717,0.8231671915977388,2.4881178578695167,0.3631962757717962,0.20394851982416606,0.9315684315684316,0.3249873830537402,0.6536885245901639,0.821766261802088,2.6622348450690776,0.3629426908565958,0.230602713901325,0.8711288711288712,0.22008185679996986,0.4868266978922717,0.8231671915977388,2.4881178578695167,5708606.5,0.1314890242852039,6006,1,0.0005938033651863338,0.0
ml-1m,2,EASE,baseline,0.0,0.0,133.62835025787354,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,,,0,0,,
ml-1m,2,GramShrink,rho=0.05,0.0,0.05,129.3279047012329,0.35968141996933944,0.22517806602308799,0.8799133910726182,0.22224028725229328,0.3059133489461358,0.7583210873771553,2.379752988598245,0.3626715794031231,0.2010704399214155,0.9390406395736176,0.32954737502861486,0.3984192037470726,0.7536423794864162,2.545007265940826,0.35968141996933944,0.22517806602308799,0.8799133910726182,0.22224028725229328,0.3059133489461358,0.7583210873771553,2.379752988598245,161815.5,5.394356833299241e-13,6004,1,0.0008167148176102959,0.0
ml-1m,2,GramShrink,rho=0.1,0.0,0.1,130.50275993347168,0.36068554844654666,0.22610881058508234,0.8799133910726182,0.22222300695222547,0.3024004683840749,0.7582084999158354,2.3740331168278277,0.3635342680869437,0.2018048373766701,0.9390406395736176,0.3300181911322866,0.39549180327868855,0.7543540551056267,2.5392579065630363,0.36068554844654666,0.22610881058508234,0.8799133910726182,0.22222300695222547,0.3024004683840749,0.7582084999158354,2.3740331168278277,530859.5,1.9444382398222523e-17,6004,1,0.0018208432948175002,0.0
ml-1m,2,GramShrink,rho=0.2,0.0,0.2,130.29727005958557,0.3621198678304031,0.22763914626013998,0.8800799467021986,0.22263687542800892,0.297423887587822,0.7600328455570302,2.3612453387124903,0.3649612882551595,0.20304631008800067,0.9388740839440373,0.3311566424973727,0.38875878220140514,0.7553320125940137,2.5271627799438545,0.3621198678304031,0.22763914626013998,0.8800799467021986,0.22263687542800892,0.297423887587822,0.7600328455570302,2.3612453387124903,1358106.5,2.8502794440968918e-25,6004,1,0.0032551626786740027,0.0
