dataset,seed,family,prior,mu,rho,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,1,CAR-SAR-EASE,car,30.0,0.9,129.70399355888367,0.35305367192441556,0.22381881285863708,0.8618048618048618,0.21063406974632332,0.1917447306791569,0.7863437326032745,2.113182037921405,0.35018163517216083,0.1952694396845473,0.9222444222444223,0.30834284823855973,0.2520491803278688,0.7662384266913884,2.280027115343193,0.35305367192441556,0.22381881285863708,0.8618048618048618,0.21063406974632332,0.1917447306791569,0.7863437326032745,2.113182037921405,5687967.5,2.3268181445980088e-09,6006,-1,-0.009295215566993925,0.0
ml-1m,1,CAR-SAR-EASE,sar,1.0,0.1,129.55439519882202,0.36571032424961974,0.23177970238273524,0.8777888777888778,0.22346652745930376,0.2924473067915691,0.7645199311865978,2.3446223177672434,0.36691636202848266,0.20587762762451553,0.9352314352314353,0.32968866326775725,0.38173302107728335,0.7568680807944612,2.5135064891364656,0.36571032424961974,0.23177970238273524,0.8777888777888778,0.22346652745930376,0.2924473067915691,0.7645199311865978,2.3446223177672434,2498257.5,8.718231179961233e-15,6006,1,0.0033614367582102556,0.0
ml-1m,1,CAR-SAR-EASE,sar,3.0,0.1,130.1472237110138,0.3669814442355281,0.23338942939566523,0.8754578754578755,0.22328404788360018,0.26639344262295084,0.7706461670197935,2.2853504440277703,0.3673378554146284,0.20684223232175825,0.9345654345654346,0.3288376664752419,0.35040983606557374,0.7613511662383843,2.4550361624649066,0.3669814442355281,0.23338942939566523,0.8754578754578755,0.22328404788360018,0.26639344262295084,0.7706461670197935,2.2853504440277703,4237385.5,1.3148540243399538e-10,6006,1,0.0046325567441186065,0.0
ml-1m,1,CAR-SAR-EASE,sar,10.0,0.1,131.25584888458252,0.36183539772306417,0.23054432261490085,0.8679653679653679,0.21722768555548208,0.22482435597189696,0.7899678446553446,2.165349028286389,0.3603282288197338,0.20266304179909417,0.9265734265734266,0.31888799158742437,0.2994730679156909,0.777044851531655,2.334765820275306,0.36183539772306417,0.23054432261490085,0.8679653679653679,0.21722768555548208,0.22482435597189696,0.7899678446553446,2.165349028286389,5873784.0,0.5804146008866651,6006,-1,-0.0005134897683453016,0.0
ml-1m,1,CAR-SAR-EASE,sar,30.0,0.1,130.26930618286133,0.3448865019115389,0.21744453838132977,0.8534798534798534,0.2038280023369154,0.17271662763466042,0.8107657314436976,2.0098600843064647,0.3410083223865426,0.18866258941142622,0.9157509157509157,0.2977600580917603,0.23770491803278687,0.8006514831637983,2.168525495793334,0.3448865019115389,0.21744453838132977,0.8534798534798534,0.2038280023369154,0.17271662763466042,0.8107657314436976,2.0098600843064647,5323736.0,1.284114206950198e-25,6006,-1,-0.017462385579870572,0.0
ml-1m,1,CAR-SAR-EASE,sar,1.0,0.5,130.6452353000641,0.36571570346199356,0.2317805183656941,0.8777888777888778,0.22346044379937396,0.2924473067915691,0.764512797846131,2.3446639198217034,0.36691543475064464,0.20587676627788334,0.9352314352314353,0.32968866326775725,0.38173302107728335,0.7568596025651242,2.5135288766710024,0.36571570346199356,0.2317805183656941,0.8777888777888778,0.22346044379937396,0.2924473067915691,0.764512797846131,2.3446639198217034,2496974.5,7.323898302421242e-15,6006,1,0.00336681597058411,0.0
ml-1m,1,CAR-SAR-EASE,sar,3.0,0.5,130.35542368888855,0.3669986570448931,0.23339658714091824,0.8756243756243757,0.22333340329009843,0.26639344262295084,0.7705924478451951,2.2854743604218277,0.36732703830149344,0.20683674147878198,0.9345654345654346,0.32882729174895803,0.35040983606557374,0.7613389534442165,2.4550726701350634,0.3669986570448931,0.23339658714091824,0.8756243756243757,0.22333340329009843,0.26639344262295084,0.7705924478451951,2.2854743604218277,4232859.0,1.0768538955542849e-10,6006,1,0.0046497695534836025,0.0
ml-1m,1,CAR-SAR-EASE,sar,10.0,0.5,130.42925381660461,0.36179717065399153,0.23049726172458596,0.8681318681318682,0.2172785036937724,0.22482435597189696,0.7899503274503274,2.1654594101740123,0.3603308335001886,0.20263341532623808,0.9265734265734266,0.31900990096003773,0.2997658079625293,0.7771570064050533,2.3350045327843474,0.36179717065399153,0.23049726172458596,0.8681318681318682,0.2172785036937724,0.22482435597189696,0.7899503274503274,2.1654594101740123,5879118.5,0.5670823851647375,6006,-1,-0.0005517168374179488,0.0
ml-1m,1,CAR-SAR-EASE,sar,30.0,0.5,129.90514969825745,0.34499554222826295,0.21752410167517877,0.8536463536463537,0.20389857593380603,0.17271662763466042,0.8106206223155374,2.0102099668641316,0.34104760754983715,0.18871022277164123,0.9155844155844156,0.29768703438314686,0.23770491803278687,0.8005366349578171,2.168815809989456,0.34499554222826295,0.21752410167517877,0.8536463536463537,0.20389857593380603,0.17271662763466042,0.8106206223155374,2.0102099668641316,5333257.0,2.689035657046474e-25,6006,-1,-0.017353345263146545,0.0
ml-1m,1,CAR-SAR-EASE,sar,1.0,0.9,131.79943084716797,0.36570616513758253,0.2317751335388807,0.8777888777888778,0.22345119379012393,0.2924473067915691,0.7645062645062644,2.3446822724739818,0.3669152728008753,0.20587664601024921,0.9352314352314353,0.32968866326775725,0.38173302107728335,0.7568269537211256,2.5135758983774616,0.36570616513758253,0.2317751335388807,0.8777888777888778,0.22345119379012393,0.2924473067915691,0.7645062645062644,2.3446822724739818,2495600.5,7.47047429595261e-15,6006,1,0.003357277646173107,0.0
ml-1m,1,CAR-SAR-EASE,sar,3.0,0.9,130.00026941299438,0.36697806113490716,0.2333706049975891,0.8756243756243757,0.22333694283445432,0.26639344262295084,0.7705741511236017,2.285549802966463,0.3672838761604535,0.2068125523406128,0.9343989343989344,0.32874048396984257,0.35040983606557374,0.7613058481479533,2.4552078251075153,0.36697806113490716,0.2333706049975891,0.8756243756243757,0.22333694283445432,0.26639344262295084,0.7705741511236017,2.285549802966463,4231122.5,1.287870493887547e-10,6006,1,0.004629173643497715,0.0
ml-1m,1,CAR-SAR-EASE,sar,10.0,0.9,129.44269680976868,0.36180204904099417,0.23050830557491556,0.8681318681318682,0.21727777690733135,0.22482435597189696,0.7898940902847154,2.165624921604984,0.3603587912796855,0.20265066186253017,0.9265734265734266,0.31903843428839207,0.2997658079625293,0.7770664394199551,2.335226773305931,0.36180204904099417,0.23050830557491556,0.8681318681318682,0.21727777690733135,0.22482435597189696,0.7898940902847154,2.165624921604984,5882979.0,0.5603561594815445,6006,-1,-0.0005468384504153176,0.0
