dataset,seed,model,w_source,gamma,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,1,EASE,,0.0,,q1,5944,0.38319038326108074,0.2877949233136622,0.8787012113055181,0.3991817514077507,0.41757261600288986,0.9348923283983849
ml-1m,1,EASE,,0.0,,q2,4502,0.01205887595139317,0.02235818320977583,0.051754775655264325,0.02297310124182566,0.05498483172293008,0.13194135939582408
ml-1m,1,EASE,,0.0,,q3,2861,0.0014036252069079909,0.002933123616451124,0.004543865781195386,0.004180845676298599,0.012439538693470885,0.020272631946871723
ml-1m,1,EASE,,0.0,,q4,1641,0.000124547469584696,0.0003046922608165753,0.0006093845216331506,0.0002736337231607021,0.0009140767824497258,0.001218769043266301
ml-1m,1,EASE,,0.0,,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,Lap-EASE,rp3beta,1.0,sym,overall,6006,0.3657238896045218,0.22363280262482357,0.8782883782883782,0.3671190527763783,0.3300184916819984,0.935064935064935
ml-1m,1,Lap-EASE,rp3beta,1.0,sym,q1,5944,0.3874437103139817,0.28960868806773377,0.8805518169582772,0.40413802842796376,0.4220008031486112,0.9365746971736204
ml-1m,1,Lap-EASE,rp3beta,1.0,sym,q2,4502,0.010421568858928842,0.019375059976502334,0.04375832963127499,0.02083871000625986,0.05065476802207612,0.1197245668591737
ml-1m,1,Lap-EASE,rp3beta,1.0,sym,q3,2861,0.0011293275926648459,0.0024088314109285795,0.004194337644180357,0.0034873195368352763,0.010817410384869316,0.016427822439706398
ml-1m,1,Lap-EASE,rp3beta,1.0,sym,q4,1641,0.000124547469584696,0.0003046922608165753,0.0006093845216331506,0.00026554577132738896,0.0009140767824497258,0.001218769043266301
ml-1m,1,Lap-EASE,rp3beta,1.0,sym,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,GS-EASE,rp3beta,1.0,sym,overall,6006,0.36575893572113677,0.22365218825985939,0.8782883782883782,0.3671274221542194,0.3300173983305214,0.935064935064935
ml-1m,1,GS-EASE,rp3beta,1.0,sym,q1,5944,0.38747938976454716,0.2896310683596726,0.8805518169582772,0.40414597479657016,0.4220012809882314,0.9365746971736204
