dataset,seed,model,w_source,gamma,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k
ml-1m,0,GS-EASE,p3alpha,3.0,sym,0.31775736808776855,0.36978565696582183,0.23603680568555774,0.883988015978695,0.2267317653978994,0.26727166276346603,0.7634884411146583,2.306042028336049,0.3705029787454482,0.20923614933455262,0.9372503328894807,0.3340061453483383,0.349824355971897,0.7535843561443878,2.4745513378375223,0.36978565696582183,0.23603680568555774,0.883988015978695,0.2267317653978994,0.26727166276346603,0.7634884411146583,2.306042028336049
ml-1m,0,Lap-EASE,p3alpha,10.0,sym,0.42129063606262207,0.3661949809405429,0.23411086126052974,0.8773302263648469,0.22149154748926256,0.22336065573770492,0.7785866114730382,2.1930052500411117,0.3652486522674858,0.20593836774077331,0.9310918774966711,0.32578264047377276,0.2927400468384075,0.7623951065246339,2.3614477479411833,0.3661949809405429,0.23411086126052974,0.8773302263648469,0.22149154748926256,0.22336065573770492,0.7785866114730382,2.1930052500411117
ml-1m,0,GS-EASE,p3alpha,10.0,sym,0.3191533088684082,0.3676810702886406,0.23535613735834374,0.8791611185086551,0.22276770954874997,0.2265807962529274,0.7691934870646202,2.2214085004229847,0.36702750157297503,0.2074236355531474,0.9322569906790945,0.327635806143805,0.2933255269320843,0.7512122393030185,2.3900696687652982,0.3676810702886406,0.23535613735834374,0.8791611185086551,0.22276770954874997,0.2265807962529274,0.7691934870646202,2.2214085004229847
ml-1m,0,Lap-EASE,itemknn,1.0,sym,0.41063547134399414,0.3680325055982284,0.23381624004770327,0.8861517976031957,0.2273950714868706,0.2939110070257611,0.7630782462692505,2.350925817699143,0.3690521898468095,0.20759603828947734,0.9375832223701731,0.3338394158259448,0.3799765807962529,0.7527462740998647,2.5201414812691545,0.3680325055982284,0.23381624004770327,0.8861517976031957,0.2273950714868706,0.2939110070257611,0.7630782462692505,2.350925817699143
ml-1m,0,GS-EASE,itemknn,1.0,sym,0.3167140483856201,0.2796681978205982,0.16163384703699007,0.8152463382157124,0.17315408859871045,0.517271662763466,0.6892367430108282,2.9013555071175876,0.28618014030135674,0.14378724741465554,0.8991344873501997,0.26672199464642476,0.6050936768149883,0.6998340545133501,2.989558834266485,0.2796681978205982,0.16163384703699007,0.8152463382157124,0.17315408859871045,0.517271662763466,0.6892367430108282,2.9013555071175876
ml-1m,0,Lap-EASE,itemknn,3.0,sym,0.4507572650909424,0.36920023289548565,0.23546082631405377,0.8838215712383488,0.22638139184375003,0.27107728337236536,0.7679404782104782,2.301641319421552,0.37005963208734,0.20888784783436573,0.9362516644474035,0.33366789112829837,0.3548009367681499,0.7582373529463466,2.469710022625377,0.36920023289548565,0.23546082631405377,0.8838215712383488,0.22638139184375003,0.27107728337236536,0.7679404782104782,2.301641319421552
ml-1m,0,GS-EASE,itemknn,3.0,sym,0.33059191703796387,0.2165043440613173,0.11722507338518827,0.7290279627163782,0.12900937780447802,0.5442037470725996,0.6357055931879245,3.150844158490095,0.2240183505265115,0.10307195328774917,0.8387150466045273,0.20840091808387481,0.6378805620608899,0.6592693832118595,3.203052576519779,0.2165043440613173,0.11722507338518827,0.7290279627163782,0.12900937780447802,0.5442037470725996,0.6357055931879245,3.150844158490095
ml-1m,0,Lap-EASE,itemknn,10.0,sym,0.504932165145874,0.3656383140770483,0.23348414043516014,0.878994673768309,0.22156222737732229,0.2338992974238876,0.7824389341537108,2.203988477785959,0.3648176715717914,0.20552949663227074,0.9314247669773635,0.32546443943491676,0.3047423887587822,0.7666495904915764,2.370513246127888,0.3656383140770483,0.23348414043516014,0.878994673768309,0.22156222737732229,0.2338992974238876,0.7824389341537108,2.203988477785959
ml-1m,0,GS-EASE,itemknn,10.0,sym,0.30973172187805176,0.20978575420941004,0.11321996966692434,0.7140479360852197,0.12218232685280754,0.5096604215456675,0.6228281303657157,3.1938481707053463,0.21744794606248075,0.09921416791157135,0.8273968042609854,0.2005144011196196,0.6048009367681498,0.6496641054908394,3.2361425806658946,0.20978575420941004,0.11321996966692434,0.7140479360852197,0.12218232685280754,0.5096604215456675,0.6228281303657157,3.1938481707053463
ml-1m,0,Lap-EASE,binary,1.0,sym,0.4187126159667969,0.3676360877169313,0.2334145794081059,0.8861517976031957,0.22723906377534922,0.29010538641686184,0.7619105236072725,2.346820014005483,0.36862277741222416,0.20727066572898326,0.9374167776298269,0.3333125407698267,0.37617096018735363,0.7521203505572336,2.5161098353436224,0.3676360877169313,0.2334145794081059,0.8861517976031957,0.22723906377534922,0.29010538641686184,0.7619105236072725,2.346820014005483
ml-1m,0,GS-EASE,binary,1.0,sym,0.33991289138793945,0.1040888226057905,0.05232294747404067,0.4470705725699068,0.051535620700123075,0.3185011709601874,0.5905952908377066,3.021849929635335,0.10607808513391644,0.044009706548414886,0.5768974700399467,0.0868645616369384,0.3788056206088993,0.6201478785627406,3.0415817121147346,0.1040888226057905,0.05232294747404067,0.4470705725699068,0.051535620700123075,0.3185011709601874,0.5905952908377066,3.021849929635335
