dataset,seed,model,w_source,gamma,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k
ml-1m,0,GS-EASE,itemknn,1.0,sym,0.4174361228942871,0.27688325481611115,0.1589761265968882,0.8154127829560586,0.17206212142212782,0.5061475409836066,0.699626620838689,2.852810953161037,0.2830747384902413,0.14128799328832423,0.8973035952063915,0.26395840597743,0.5945550351288056,0.7086034311054814,2.945346307365554,0.27688325481611115,0.1589761265968882,0.8154127829560586,0.17206212142212782,0.5061475409836066,0.699626620838689,2.852810953161037
ml-1m,0,Lap-EASE,itemknn,3.0,sym,0.6078429222106934,0.36969573983881066,0.23581452151834004,0.883988015978695,0.2266555164066696,0.27634660421545665,0.7675739550655623,2.3121016237196232,0.37051106519301935,0.2090979331241057,0.936750998668442,0.3342014616331068,0.36065573770491804,0.7577715102806648,2.480059470450346,0.36969573983881066,0.23581452151834004,0.883988015978695,0.2266555164066696,0.27634660421545665,0.7675739550655623,2.3121016237196232
ml-1m,0,GS-EASE,itemknn,3.0,sym,0.48522353172302246,0.20507624290308055,0.10779882610223405,0.7235352862849534,0.12441514076651672,0.5512295081967213,0.6508825902514119,3.117424506477243,0.2122570217465409,0.09481317128561628,0.8303928095872171,0.19968484988912735,0.6419789227166276,0.6716564037128183,3.1677324971344856,0.20507624290308055,0.10779882610223405,0.7235352862849534,0.12441514076651672,0.5512295081967213,0.6508825902514119,3.117424506477243
ml-1m,0,Lap-EASE,itemknn,10.0,sym,0.6065366268157959,0.36563065857055943,0.23338851601325047,0.8781624500665779,0.22184025453239764,0.24092505854800936,0.7784188518184745,2.2272942334341574,0.3652331045695472,0.20558976254148528,0.9322569906790945,0.326509544230836,0.3164519906323185,0.7647160246405964,2.395991856261221,0.36563065857055943,0.23338851601325047,0.8781624500665779,0.22184025453239764,0.24092505854800936,0.7784188518184745,2.2272942334341574
ml-1m,0,GS-EASE,itemknn,10.0,sym,0.35555291175842285,0.1945208950322652,0.10134547426413727,0.7012316910785619,0.11558741970559007,0.5307377049180327,0.6323972339142587,3.1997506998976424,0.2017975696219348,0.08875033757620203,0.8170772303595206,0.18883411617227622,0.6217798594847775,0.6553880137218173,3.2392797178701027,0.1945208950322652,0.10134547426413727,0.7012316910785619,0.11558741970559007,0.5307377049180327,0.6323972339142587,3.1997506998976424
ml-1m,1,EASE,,0.0,,131.96123671531677,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466
ml-1m,1,Lap-EASE,rp3beta,0.3,sym,0.4498107433319092,0.36400194574732786,0.22986329862817956,0.8772893772893773,0.2234076552452213,0.3094262295081967,0.7626468769325911,2.376855289532446,0.3652606844430805,0.20424063391922628,0.9355644355644356,0.32870530858040287,0.39637002341920374,0.7527931448167786,2.5447983722806575,0.36400194574732786,0.22986329862817956,0.8772893772893773,0.2234076552452213,0.3094262295081967,0.7626468769325911,2.376855289532446
ml-1m,1,GS-EASE,rp3beta,0.3,sym,0.3432168960571289,0.36400076198131975,0.229862010234034,0.8772893772893773,0.2234076552452213,0.3094262295081967,0.7626253279990272,2.3768905005241825,0.3652702781881173,0.20424226921784727,0.9355644355644356,0.3287290943184743,0.39637002341920374,0.7527931940044201,2.5447988791514864,0.36400076198131975,0.229862010234034,0.8772893772893773,0.2234076552452213,0.3094262295081967,0.7626253279990272,2.3768905005241825
ml-1m,1,Lap-EASE,rp3beta,1.0,sym,0.46354079246520996,0.365875706453301,0.23184651799447717,0.8781218781218781,0.22367601398271958,0.3003512880562061,0.7648319192178841,2.3580888819335653,0.36742664750574167,0.20622160352559626,0.9347319347319347,0.33025645924568997,0.3875878220140515,0.755442442753621,2.525526223576737,0.365875706453301,0.23184651799447717,0.8781218781218781,0.22367601398271958,0.3003512880562061,0.7648319192178841,2.3580888819335653
ml-1m,1,GS-EASE,rp3beta,1.0,sym,0.33833861351013184,0.36590126399620626,0.23186095791963135,0.8782883782883782,0.22369431070431303,0.3003512880562061,0.7648027735747034,2.358111266303371,0.3674668431676371,0.2062454309373009,0.9347319347319347,0.3303266722056295,0.38788056206088994,0.755610326780138,2.5255780362318663,0.36590126399620626,0.23186095791963135,0.8782883782883782,0.22369431070431303,0.3003512880562061,0.7648027735747034,2.358111266303371
ml-1m,1,Lap-EASE,rp3beta,3.0,sym,0.605137825012207,0.36734150242494956,0.2335935469743576,0.8774558774558775,0.2237131927836904,0.27898126463700235,0.767929307488594,2.3157946896713417,0.3681888135613897,0.20736457925982682,0.9352314352314353,0.33012414765227727,0.3668032786885246,0.7592876663108108,2.4865684054263912,0.36734150242494956,0.2335935469743576,0.8774558774558775,0.2237131927836904,0.27898126463700235,0.767929307488594,2.3157946896713417
ml-1m,1,GS-EASE,rp3beta,3.0,sym,0.36356401443481445,0.36735762840410685,0.23360319121019232,0.8776223776223776,0.2237290499424047,0.27898126463700235,0.7678943302238161,2.3158854295426345,0.36821439556469054,0.20737587323849058,0.9352314352314353,0.33019440138721634,0.367096018735363,0.7594135263991724,2.486686587758263,0.36735762840410685,0.23360319121019232,0.8776223776223776,0.2237290499424047,0.27898126463700235,0.7678943302238161,2.3158854295426345
