dataset,seed,model,w_source,gamma,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,3,GS-EASE,itemknn,3.0,sym,q1,5943,0.19241392313674385,0.14593703190463325,0.6760895170789164,0.20839608365668263,0.23311939074959656,0.8019518761568232
ml-1m,3,GS-EASE,itemknn,3.0,sym,q2,4400,0.04424734660961029,0.06125420081335935,0.18659090909090909,0.05862235625846681,0.10538786970016202,0.2918181818181818
ml-1m,3,GS-EASE,itemknn,3.0,sym,q3,2896,0.012088186420973781,0.020606649379977617,0.050759668508287295,0.01900662119253813,0.04258623688393245,0.09668508287292818
ml-1m,3,GS-EASE,itemknn,3.0,sym,q4,1678,0.0032915536112259206,0.005792042681196435,0.010727056019070322,0.005526883124704263,0.013515239230376295,0.021454112038140644
ml-1m,3,GS-EASE,itemknn,3.0,sym,q5,698,0.002177431302762472,0.0057306590257879654,0.0057306590257879654,0.002177431302762472,0.0057306590257879654,0.0057306590257879654
ml-1m,3,Lap-EASE,itemknn,10.0,sym,overall,6013,0.35739150813350057,0.21304191391259766,0.863129885248628,0.35616290608193146,0.3164276185307029,0.9226675536337935
ml-1m,3,Lap-EASE,itemknn,10.0,sym,q1,5943,0.3802231020145591,0.2789483091387517,0.8706040720174996,0.3948334117487443,0.40965572749441376,0.928487295978462
ml-1m,3,Lap-EASE,itemknn,10.0,sym,q2,4400,0.007109122937440298,0.012698233477878376,0.03,0.01359959721434939,0.03242531899619218,0.07568181818181818
ml-1m,3,Lap-EASE,itemknn,10.0,sym,q3,2896,0.0003900859695192753,0.0009125887924230465,0.0020718232044198894,0.0013399274469103634,0.004019949893568678,0.007251381215469613
ml-1m,3,Lap-EASE,itemknn,10.0,sym,q4,1678,0.0,0.0,0.0,0.00015253755948141568,0.0005959475566150178,0.0005959475566150178
ml-1m,3,Lap-EASE,itemknn,10.0,sym,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
