model,ease_lambda,rp3_beta,rp3_topK,gamma,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Hybrid-GraphReg,200,0.6,200,0.3,q4,0.006385091793133332,0.0012117728730842755,5,0.011298557353482386,0.0023534241180246424,5,0.01917127885705118,0.0035145808981262424,5,0.009268865809468754,0.0016160941817573169,5,0.021275962935950445,0.0036163650405123425,5,0.03514020247637751,0.0060087103255183,5,1647.8,38.15363678602605,5
Hybrid-GraphReg,200,0.6,200,0.3,q5,0.00720740765580997,0.0023785229929283963,5,0.010494826625235692,0.0037948234914166063,5,0.016539396895231526,0.0037993401877812966,5,0.00849601252534055,0.0030615758279558714,5,0.015155499307992454,0.006538721408609799,5,0.023554529538033935,0.006074503072198589,5,690.4,16.379865689315046,5
Hybrid-GraphReg,200,0.6,200,0.5,overall,0.3032258315234002,0.0029460150873524362,5,0.19349625726786016,0.0029617867863856004,5,0.8396985947851666,0.0050636017898776624,5,0.3108426527501903,0.0027215172535148403,5,0.2917558193654424,0.00292021964055034,5,0.911577343412515,0.0065665890540337725,5,6007.4,3.4351128074635104,5
Hybrid-GraphReg,200,0.6,200,0.5,q1,0.3037524843746837,0.0027295495627843954,5,0.23391192409444533,0.002169559969808222,5,0.8229317286323775,0.0040005203311207875,5,0.3223356269310488,0.0024319026077464717,5,0.34883079702731756,0.002878947480155436,5,0.8990784815304794,0.005684955576465773,5,5941.2,4.147288270665454,5
Hybrid-GraphReg,200,0.6,200,0.5,q2,0.030800179255150044,0.00126509913944989,5,0.04787654642360466,0.002044547527186384,5,0.13913018685621084,0.005069240580192714,5,0.04596078761110556,0.0011199300051699635,5,0.09360572258990826,0.0015659961699053821,5,0.24783979169124906,0.00212217793052981,5,4440.2,45.146428430164846,5
Hybrid-GraphReg,200,0.6,200,0.5,q3,0.01457072607939713,0.0016623755259024139,5,0.024011480329603496,0.0029143642218441897,5,0.05408431840121669,0.004285957892652233,5,0.021589315178189395,0.002036227336235909,5,0.04626346137804987,0.0038581521697624707,5,0.09868729122254741,0.005591302811047395,5,2896.4,24.795160818191906,5
Hybrid-GraphReg,200,0.6,200,0.5,q4,0.011027820414924224,0.001606051463710295,5,0.01988285252022508,0.003624347458530007,5,0.033414859697957114,0.005256662559811569,5,0.015153850379575413,0.001216971123674435,5,0.033967395063991594,0.003715757496018115,5,0.056615477974889084,0.0061496046889738774,5,1647.8,38.15363678602605,5
Hybrid-GraphReg,200,0.6,200,0.5,q5,0.01179670234738191,0.004074219064759653,5,0.017145295948066647,0.006172023768450348,5,0.025806860582422535,0.005561911140537149,5,0.014005412878014493,0.0034636582676498885,5,0.025078685148078268,0.0044728078442246196,5,0.03826558643897791,0.00413402532477658,5,690.4,16.379865689315046,5
Hybrid-GraphReg,200,0.6,200,1.0,overall,0.23702619970933392,0.002539282904660833,5,0.1567232127565458,0.0024821941768212825,5,0.7629266077865885,0.0063191318874650775,5,0.24989632471295495,0.002525043916311094,5,0.24466623950122343,0.0028453625890216537,5,0.8654996640713983,0.006870242867846201,5,6007.4,3.4351128074635104,5
Hybrid-GraphReg,200,0.6,200,1.0,q1,0.22806673147302886,0.0018381246641396432,5,0.18153830337357427,0.0015670317945825191,5,0.7260823972297856,0.004385959605835038,5,0.24938726322193377,0.002121194053932336,5,0.28189814344283265,0.002326666715786172,5,0.8378093724410405,0.005357537600836154,5,5941.2,4.147288270665454,5
Hybrid-GraphReg,200,0.6,200,1.0,q2,0.034825852181611425,0.0006809822580544766,5,0.05318529731817685,0.0013260669369851306,5,0.1551955258566524,0.0031833995295108414,5,0.049951359460016484,0.0010363149146409689,5,0.09912362817230853,0.0024128166814831723,5,0.26523111791678966,0.0027834479881222603,5,4440.2,45.146428430164846,5
Hybrid-GraphReg,200,0.6,200,1.0,q3,0.02132215498294757,0.002091839514941075,5,0.03491412790289992,0.0022505265679921504,5,0.08038426435468547,0.003002432796603867,5,0.029594308996518593,0.0024266962561127745,5,0.06113277265846706,0.0030494838827519115,5,0.13292887384654412,0.00455360608130509,5,2896.4,24.795160818191906,5
