dataset,seed,split_mode,graph_source,kernel,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff,kernel_build_s
ml-1m,2,random,rp3beta,laplacian,1.0,137.59201645851135,0.36370303337350085,0.22920999381721496,0.8810792804796802,0.22310931101710857,0.29361826697892274,0.7622954255155916,2.350499462793697,0.3658678894733905,0.20411384527676407,0.938707528314457,0.33122838277447103,0.3799765807962529,0.7544591612782028,2.516773885562826,0.36370303337350085,0.22920999381721496,0.8810792804796802,0.22310931101710857,0.29361826697892274,0.7622954255155916,2.350499462793697,2250305.0,7.29089240184418e-28,6004,1,0.004838328221771763,0.0,0.00652313232421875
ml-1m,2,random,rp3beta,laplacian,3.0,138.9750726222992,0.36575618115099756,0.23192852493231608,0.880413057961359,0.22283848865550335,0.272248243559719,0.7687892301189889,2.301203590309745,0.36659128907099714,0.20541068202714993,0.9367088607594937,0.32977211417930613,0.35392271662763464,0.7577167055434233,2.4703199256467574,0.36575618115099756,0.23192852493231608,0.880413057961359,0.22283848865550335,0.272248243559719,0.7687892301189889,2.301203590309745,4050245.5,1.930687865404915e-19,6004,1,0.006891475999268413,0.0,0.00652313232421875
ml-1m,2,random,rp3beta,laplacian,10.0,139.59082961082458,0.36354761772797367,0.23135939059754232,0.8745836109260493,0.2194093303567428,0.2338992974238876,0.781449621820747,2.2066893645246335,0.36180559948034996,0.20270650916192648,0.9322118587608261,0.3222745433561805,0.30415690866510536,0.7640772850182007,2.3766402720991167,0.36354761772797367,0.23135939059754232,0.8745836109260493,0.2194093303567428,0.2338992974238876,0.781449621820747,2.2066893645246335,5614231.0,0.00010192338834406588,6004,1,0.004682912576244507,0.0,0.00652313232421875
ml-1m,2,random,rp3beta,reg_laplacian,1.0,138.2836983203888,0.3639636240128441,0.22950309122989143,0.8809127248501,0.22316856581968944,0.2927400468384075,0.7631581945369754,2.346831951377596,0.3658909286297357,0.20417531844811243,0.9385409726848768,0.3309605229493367,0.37822014051522246,0.7549637058266625,2.512775571892417,0.3639636240128441,0.22950309122989143,0.8809127248501,0.22316856581968944,0.2927400468384075,0.7631581945369754,2.346831951377596,2230905.0,5.323718510693872e-31,6004,1,0.005098918861114935,0.0,0.03905630111694336
ml-1m,2,random,rp3beta,reg_laplacian,3.0,136.78486156463623,0.3661798817233605,0.23219899032940833,0.8810792804796802,0.22318821084065432,0.2696135831381733,0.7707060656630651,2.291400514417953,0.3666956946591689,0.20548689242408405,0.9362091938707529,0.3297790490220973,0.34923887587822017,0.7584819396736346,2.4604116212008127,0.3661798817233605,0.23219899032940833,0.8810792804796802,0.22318821084065432,0.2696135831381733,0.7707060656630651,2.291400514417953,4004454.5,7.306976534107733e-22,6004,1,0.007315176571631382,0.0,0.03905630111694336
ml-1m,2,random,rp3beta,reg_laplacian,10.0,139.7929925918579,0.3637697677403366,0.23156261485057664,0.8744170552964691,0.2195749816131454,0.22745901639344263,0.7843945306303735,2.185887163935632,0.36164232928829737,0.20268739068137445,0.9318787475016655,0.32175932714578503,0.2962529274004684,0.7674677685232243,2.353387996787868,0.3637697677403366,0.23156261485057664,0.8744170552964691,0.2195749816131454,0.22745901639344263,0.7843945306303735,2.185887163935632,5640244.5,4.240229519118208e-05,6004,1,0.004905062588607422,0.0,0.03905630111694336
ml-1m,2,random,rp3beta,heat,1.0,137.44780135154724,0.36385366407464104,0.22942955732858197,0.8807461692205196,0.2230071100333867,0.29215456674473067,0.7628033548776434,2.346543304591286,0.3659175809603127,0.20419946663328425,0.9385409726848768,0.3310090544541101,0.3779274004683841,0.7548878852260126,2.5124981674274087,0.36385366407464104,0.22942955732858197,0.8807461692205196,0.2230071100333867,0.29215456674473067,0.7628033548776434,2.346543304591286,2228906.0,1.971643593692415e-30,6004,1,0.004988958922911835,0.0,4.246762752532959
ml-1m,2,random,rp3beta,heat,3.0,143.43930196762085,0.36623568223343456,0.23226959857029889,0.8809127248501,0.22317134432999097,0.2693208430913349,0.7708533803551256,2.290494923414951,0.36672282768278025,0.2055027949775056,0.9362091938707529,0.3298002056758611,0.34894613583138173,0.7585349420296985,2.459748236268545,0.36623568223343456,0.23226959857029889,0.8809127248501,0.22317134432999097,0.2693208430913349,0.7708533803551256,2.290494923414951,3985477.5,9.312193510264245e-22,6004,1,0.007370977081705363,0.0,4.246762752532959
ml-1m,2,random,rp3beta,heat,10.0,137.52599954605103,0.36389899284676525,0.23166761899012817,0.8744170552964691,0.2196367444849738,0.22716627634660422,0.784926672596276,2.1838230806764276,0.3616839963471843,0.20269354614134147,0.9318787475016655,0.321782751047719,0.29478922716627637,0.7671340093032979,2.351231132447561,0.36389899284676525,0.23166761899012817,0.8744170552964691,0.2196367444849738,0.22716627634660422,0.784926672596276,2.1838230806764276,5625436.5,2.2085282821627133e-05,6004,1,0.005034287695036106,0.0,4.246762752532959
ml-1m,2,random,rp3beta,p_step_2,1.0,134.23110055923462,0.3638285314908424,0.2293491881525107,0.880413057961359,0.22326408812596613,0.2842505854800937,0.7644807340935087,2.328175146594478,0.36545044241134034,0.20389924525950628,0.9372085276482345,0.3301033041968225,0.36914519906323184,0.756619707929316,2.4944574247053874,0.3638285314908424,0.2293491881525107,0.880413057961359,0.22326408812596613,0.2842505854800937,0.7644807340935087,2.328175146594478,2510120.5,2.2746905255515482e-26,6004,1,0.004963826339113242,0.0,0.6262261867523193
ml-1m,2,random,rp3beta,p_step_2,3.0,136.00265860557556,0.36597252088239374,0.23200799801685915,0.8789140572951366,0.22274244909884852,0.25585480093676816,0.776498047830813,2.2513015673853074,0.3663808413325505,0.20525146129419955,0.9348767488341105,0.3288000602567638,0.3337236533957845,0.7644120001870098,2.4201344435996277,0.36597252088239374,0.23200799801685915,0.8789140572951366,0.22274244909884852,0.25585480093676816,0.776498047830813,2.2513015673853074,4176866.5,2.8066361356126082e-18,6004,1,0.007107815730664572,0.0,0.6262261867523193
ml-1m,2,random,rp3beta,p_step_2,10.0,137.71683835983276,0.3608157858863076,0.229346733749265,0.867255163224517,0.2158001877460349,0.20989461358313818,0.800008409084785,2.1092555602851726,0.35842980655430834,0.19997089410537372,0.9290473017988008,0.3188440199475779,0.2778103044496487,0.7855958689991709,2.2744470234499676,0.3608157858863076,0.229346733749265,0.867255163224517,0.2158001877460349,0.20989461358313818,0.800008409084785,2.1092555602851726,5935576.0,0.07875086530649872,6004,1,0.001951080734578415,0.0,0.6262261867523193
ml-1m,2,random,rp3beta,inv_cosine,1.0,141.3537790775299,0.36380672025504646,0.2293252445218347,0.8807461692205196,0.22320580427326056,0.29215456674473067,0.7625438084697043,2.3471340925748336,0.36592465320797474,0.2041749981733969,0.9385409726848768,0.3311008111024151,0.3788056206088993,0.7551566858570329,2.513147136601011,0.36380672025504646,0.2293252445218347,0.8807461692205196,0.22320580427326056,0.29215456674473067,0.7625438084697043,2.3471340925748336,2206957.5,1.6528109016460927e-30,6004,1,0.0049420151033172845,0.0,4.321095943450928
ml-1m,2,random,rp3beta,inv_cosine,3.0,137.88827300071716,0.3663042155686849,0.23233143045939475,0.8809127248501,0.22326655749761315,0.2701990632318501,0.7707641637247253,2.2921667479564967,0.3668206635009437,0.20558922406125704,0.9360426382411725,0.32976891917137946,0.35011709601873536,0.7587127533706626,2.4611640524109184,0.3663042155686849,0.23233143045939475,0.8809127248501,0.22326655749761315,0.2701990632318501,0.7707641637247253,2.2921667479564967,3964424.0,1.9394331574769894e-22,6004,1,0.007439510416955773,0.0,4.321095943450928
