dataset,seed,family,kind,param,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,1,HeatGram,ppr,0.3,154.89101767539978,0.36669703139718834,0.23316987334702755,0.8766233766233766,0.22291382536314241,0.27634660421545665,0.7682727935905902,2.308591955999245,0.36792191310291816,0.20705750742117987,0.935064935064935,0.33017833887127906,0.3638758782201405,0.760098161425595,2.4790053545651154,0.36669703139718834,0.23316987334702755,0.8766233766233766,0.22291382536314241,0.27634660421545665,0.7682727935905902,2.308591955999245,3817514.5,1.5533952218670703e-12,6006,1,0.004348143905778889,0.0
ml-1m,1,HeatGram,ppr,0.5,153.06965398788452,0.36564581732410434,0.23346180453039864,0.8711288711288712,0.22048251804823546,0.24824355971896955,0.7826989834065305,2.2261668038474993,0.36520637930336824,0.20625755878821103,0.9302364302364302,0.32429242323928725,0.3255269320843091,0.7681521715694377,2.3993818330083077,0.36564581732410434,0.23346180453039864,0.8711288711288712,0.22048251804823546,0.24824355971896955,0.7826989834065305,2.2261668038474993,5281943.0,0.003841582953385271,6006,1,0.0032969298326948667,0.0
ml-1m,1,HeatGram,ppr,0.7,152.56482982635498,0.35413031160903036,0.22475842347582708,0.8628038628038628,0.21169553209803885,0.20111241217798595,0.8009925542676635,2.095361879445156,0.35103421237328297,0.1961213046836604,0.9212454212454212,0.3086514240577104,0.27137002341920374,0.7869511466598844,2.264633205749445,0.35413031160903036,0.22475842347582708,0.8628038628038628,0.21169553209803885,0.20111241217798595,0.8009925542676635,2.095361879445156,5688050.5,2.3255418460898734e-08,6006,-1,-0.00821857588237906,0.0
ml-1m,2,EASE,-,0.0,154.5991244316101,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,,,0,0,,
ml-1m,2,HeatGram,heat,0.5,155.48198628425598,0.3467766215866225,0.21905962805366674,0.8610926049300467,0.2054812179312077,0.30415690866510536,0.7814377197364091,2.380588136613893,0.34630685016305696,0.19087627712388588,0.9272151898734177,0.30870359664281344,0.3981264637002342,0.7772118220206137,2.526151708172986,0.3467766215866225,0.21905962805366674,0.8610926049300467,0.2054812179312077,0.30415690866510536,0.7814377197364091,2.380588136613893,6063221.5,9.788143583336797e-11,6004,-1,-0.012088083565106713,0.0
ml-1m,2,HeatGram,heat,1.0,155.86545133590698,0.3408670872398413,0.21471386879016913,0.8534310459693538,0.19946882510091107,0.24677985948477751,0.8000923069871173,2.220525408803925,0.33822788345305027,0.18566996893605953,0.9157228514323784,0.2981870530009407,0.32289227166276346,0.7885211611720926,2.3726352314611603,0.3408670872398413,0.21471386879016913,0.8534310459693538,0.19946882510091107,0.24677985948477751,0.8000923069871173,2.220525408803925,5756560.0,8.006809181240924e-22,6004,-1,-0.017997617911887833,0.0
ml-1m,2,HeatGram,heat,2.0,155.31959176063538,0.30891646026195724,0.18967450077163642,0.8139573617588275,0.17500811113823833,0.1443208430913349,0.8311990113419991,1.920485088628991,0.303789149962807,0.16152032821518397,0.8864090606262491,0.2608591852299198,0.19701405152224824,0.8183664827707728,2.0683275969432824,0.30891646026195724,0.18967450077163642,0.8139573617588275,0.17500811113823833,0.1443208430913349,0.8311990113419991,1.920485088628991,4511026.0,6.585867943474251e-108,6004,-1,-0.04994824488977194,-0.02282159434981469
ml-1m,2,HeatGram,ppr,0.3,153.43178915977478,0.3655695118345088,0.2313583521689328,0.8810792804796802,0.22309950437526355,0.27546838407494145,0.7679908399713689,2.3067759555663243,0.3668638675166264,0.20546140746034658,0.9365423051299134,0.33025172388184865,0.3594847775175644,0.7583188297920822,2.4763757107223103,0.3655695118345088,0.2313583521689328,0.8810792804796802,0.22309950437526355,0.27546838407494145,0.7679908399713689,2.3067759555663243,3602359.5,6.834155650398158e-23,6004,1,0.006704806682779664,0.0
ml-1m,2,HeatGram,ppr,0.5,152.44313883781433,0.3662954458159883,0.23342365876138008,0.8777481678880746,0.22146642156239693,0.24531615925058547,0.7807744320015773,2.2261432650788517,0.36568880358848965,0.20544352520900647,0.9338774150566289,0.3267852458943138,0.321135831381733,0.7657679899817624,2.3981825854809298,0.3662954458159883,0.23342365876138008,0.8777481678880746,0.22146642156239693,0.24531615925058547,0.7807744320015773,2.2261432650788517,4921909.0,4.115301794050011e-13,6004,1,0.007430740664259142,0.0
ml-1m,2,HeatGram,ppr,0.7,151.12478041648865,0.3563859106853188,0.22643629227760143,0.8650899400399733,0.2115257631904947,0.1990632318501171,0.7972121526825253,2.099668542436129,0.35324557050291594,0.19677000450878568,0.9255496335776149,0.3115115510487371,0.26492974238875877,0.7810892186056442,2.2674488265455306,0.3563859106853188,0.22643629227760143,0.8650899400399733,0.2115257631904947,0.1990632318501171,0.7972121526825253,2.099668542436129,6224722.0,0.15539956832878246,6004,-1,-0.002478794466410432,0.0
