dataset,lambda,rp3_beta,rp3_topK,graph_source,normalise,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,500,0.6,200,rp3beta,none,0.1,131.86374044418335,0.11344274675267411,0.054480132702736966,0.5056236360584186,0.08906488268022195,0.34758418740849195,0.7402542993107442,2.4221581778040755,0.13018848274147757,0.052509029254007675,0.6817189860668121,0.15405659297988505,0.4383601756954612,0.7341531588721621,2.5957696762514004,0.11344274675267411,0.054480132702736966,0.5056236360584186,0.08906488268022195,0.34758418740849195,0.7402542993107442,2.4221581778040755,44945.0,0.18159281730729593,5957,1,0.00015894934323724112,0.0
ml-1m,500,0.6,200,rp3beta,none,0.3,131.499694108963,0.11387418289146055,0.054768508605576034,0.5054557663253315,0.0890270744537893,0.34348462664714496,0.7399198947959096,2.4158330967624555,0.13077821517515217,0.052795887746061976,0.6823904649991607,0.154654245080982,0.43455344070278185,0.73443074966279,2.5889421829721257,0.11387418289146055,0.054768508605576034,0.5054557663253315,0.0890270744537893,0.34348462664714496,0.7399198947959096,2.4158330967624555,196848.5,0.00416840449896227,5957,1,0.0005903854820236763,0.0
ml-1m,500,0.6,200,rp3beta,none,1.0,130.98903894424438,0.11422301228010484,0.05506286365166873,0.5042806781937217,0.08903094375795108,0.3323572474377745,0.7402295008500714,2.39553578178667,0.13094972733149177,0.05296453782814518,0.6810475071344636,0.15426456424054966,0.4222547584187408,0.7354245532651129,2.5667356990308265,0.11422301228010484,0.05506286365166873,0.5042806781937217,0.08903094375795108,0.3323572474377745,0.7402295008500714,2.39553578178667,744602.5,0.0005759218918453355,5957,1,0.0009392148706679603,0.0
ml-1m,500,0.6,200,rp3beta,none,3.0,130.415696144104,0.11604331218028531,0.05617963896524233,0.5081416820547255,0.08987155233976893,0.31332357247437775,0.7458740286696401,2.3472866305268862,0.13216075797170493,0.05380028291999185,0.6778579822058083,0.1548411354970218,0.39970717423133234,0.7396649738264645,2.5189649173154183,0.11604331218028531,0.05617963896524233,0.5081416820547255,0.08987155233976893,0.31332357247437775,0.7458740286696401,2.3472866305268862,1314993.5,9.396328764835641e-07,5957,1,0.002759514770848425,0.0
ml-1m,500,0.6,200,rp3beta,none,10.0,131.28936219215393,0.11807601673510405,0.05779050123770621,0.5084774215208998,0.08897883568777827,0.2746705710102489,0.7560862442386498,2.2478216566824263,0.1335632821667772,0.0549884797511441,0.6731576296793688,0.15326589831537338,0.3531478770131772,0.7494500943884461,2.414700002937827,0.11807601673510405,0.05779050123770621,0.5084774215208998,0.08897883568777827,0.2746705710102489,0.7560862442386498,2.2478216566824263,1843114.5,2.2342658558412612e-08,5957,1,0.0047922193256671785,0.0
ml-1m,500,0.6,200,rp3beta,none,30.0,131.03469014167786,0.1197324498519474,0.05867291576974363,0.5064629847238543,0.087591719136477,0.22284040995607612,0.7725866740549938,2.103066014393544,0.1333084803849124,0.05480032148668058,0.669464495551452,0.14789885196966793,0.289311859443631,0.7616608127477693,2.268370911581186,0.1197324498519474,0.05867291576974363,0.5064629847238543,0.087591719136477,0.22284040995607612,0.7725866740549938,2.103066014393544,2288102.5,1.4628187599720691e-08,5957,1,0.006448652442510517,0.0
ml-1m,500,0.6,200,rp3beta,none,50.0,131.36268496513367,0.11988798998493065,0.058688630189110816,0.5051200268591572,0.08561564918090485,0.19443631039531478,0.7805361112066194,2.0198844232161943,0.1329513329884663,0.05446773974168045,0.6649320127580998,0.1448611246978593,0.2571010248901903,0.7715084147093656,2.181615077078989,0.11988798998493065,0.058688630189110816,0.5051200268591572,0.08561564918090485,0.19443631039531478,0.7805361112066194,2.0198844232161943,2467271.5,7.728775604778274e-08,5957,1,0.006604192575493782,0.0
ml-1m,500,0.6,200,rp3beta,none,75.0,131.13718366622925,0.12003670189921256,0.058812293855735144,0.5044485479268088,0.08340394158194533,0.16954612005856515,0.7863216030370794,1.9452135353138402,0.1325707367855508,0.05427744439128481,0.6620782272956186,0.14255464817088476,0.2260614934114202,0.7766936794871013,2.1050846448061673,0.12003670189921256,0.058812293855735144,0.5044485479268088,0.08340394158194533,0.16954612005856515,0.7863216030370794,1.9452135353138402,2548701.5,1.1862433417129274e-07,5957,1,0.006752904489775696,0.0
ml-1m,500,0.6,200,rp3beta,none,100.0,130.62866950035095,0.12030558308609482,0.0587859025100226,0.5057915057915058,0.08296421124639361,0.1513909224011713,0.7900525006907986,1.8890775779865918,0.131778917744384,0.053912067326208735,0.6590565721000503,0.13934820429105108,0.20673499267935577,0.7839541501630427,2.046317806211232,0.12030558308609482,0.0587859025100226,0.5057915057915058,0.08296421124639361,0.1513909224011713,0.7900525006907986,1.8890775779865918,2653708.5,1.0003901240394086e-07,5957,1,0.007021785676657937,0.0
ml-1m,500,0.6,200,rp3beta,none,200.0,130.6273319721222,0.11850262107571329,0.05802944552593325,0.5024341111297633,0.07834390243594537,0.11068814055636896,0.8045911927899507,1.7356463989888433,0.1287743832505274,0.05270464502821198,0.6461306026523418,0.13108321632549336,0.15168374816983896,0.795017055953769,1.887329209077804,0.11850262107571329,0.05802944552593325,0.5024341111297633,0.07834390243594537,0.11068814055636896,0.8045911927899507,1.7356463989888433,3022337.5,0.0005613104593085465,5957,1,0.005218823666276415,0.0
ml-1m,500,0.6,200,rp3beta,none,500.0,131.67164611816406,0.11327362647345206,0.056144669038413496,0.47255329864025514,0.06803769928200361,0.06061493411420205,0.8087152775243511,1.5365682606372537,0.1198609385704789,0.04926313302638798,0.6128923955010912,0.11324083411878498,0.08462664714494876,0.7894996610657812,1.6895420383199986,0.11327362647345206,0.056144669038413496,0.47255329864025514,0.06803769928200361,0.06061493411420205,0.8087152775243511,1.5365682606372537,3324341.5,0.754293210923071,5957,-1,-1.017093598482076e-05,0.0
ml-1m,500,0.6,200,rp3beta,none,1000.0,131.4958095550537,0.10758643164843315,0.05312071657790379,0.4487157965418835,0.06299988916129286,0.0424597364568082,0.8016261367385804,1.4554055630780287,0.11202624450600217,0.04561287339068822,0.5804935370152762,0.10258702384453391,0.06500732064421669,0.7938081022099823,1.6069932339850292,0.10758643164843315,0.05312071657790379,0.4487157965418835,0.06299988916129286,0.0424597364568082,0.8016261367385804,1.4554055630780287,3231621.5,0.007403696700849942,5957,-1,-0.005697365761003723,0.0
