dataset,seed,family,config,lambda,alpha_T,alpha,lambda_T,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,2,AddEASE,"alpha=0.3,lambdaT=10.0",500,0.0,0.3,10.0,132.88703513145447,0.3034305325203905,0.17495409918939567,0.8557628247834776,0.19731434907803305,0.36124121779859486,0.7387279900919648,2.6527522516248148,0.30607877356352536,0.1549917575503327,0.9238840772818121,0.29068672165573517,0.4622365339578454,0.7242597398652113,2.8779793544857326,0.3034305325203905,0.17495409918939567,0.8557628247834776,0.19731434907803305,0.36124121779859486,0.7387279900919648,2.6527522516248148,3087896.5,4.0212537933673516e-185,6004,-1,-0.05543417263133864,-0.013328464918635041
ml-1m,2,AddEASE,"alpha=0.5,lambdaT=10.0",500,0.0,0.5,10.0,133.04782342910767,0.34158534385682005,0.2076441381556077,0.8740839440373085,0.21475731891037902,0.33752927400468385,0.7467325627956616,2.4876947640400466,0.34447179927025284,0.1844447582717406,0.9358760826115923,0.31860269232029303,0.4364754098360656,0.7364176285784885,2.678250443781034,0.34158534385682005,0.2076441381556077,0.8740839440373085,0.21475731891037902,0.33752927400468385,0.7467325627956616,2.4876947640400466,3514946.0,2.3246961201846487e-47,6004,-1,-0.017279361294909118,0.0
ml-1m,2,AddEASE,"alpha=0.7,lambdaT=10.0",500,0.0,0.7,10.0,131.46464252471924,0.35611704367563063,0.2212370108430275,0.8779147235176549,0.22102455585471448,0.31820843091334894,0.7502005715907272,2.4236566099935657,0.35871249896974977,0.19694005404944068,0.938707528314457,0.327626758516598,0.42066744730679156,0.7471860907388579,2.5990373468547836,0.35611704367563063,0.2212370108430275,0.8779147235176549,0.22102455585471448,0.31820843091334894,0.7502005715907272,2.4236566099935657,3026079.0,0.0009425333274435286,6004,-1,-0.0027476614760984573,0.0
ml-1m,3,EASE,baseline,500,0.0,0.0,0.0,133.87615489959717,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611,0.4016393442622951,0.7525223895359858,2.551157214359107,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,,,0,0,,
ml-1m,3,CEASE,alpha_T=0.1,500,0.1,0.0,0.0,130.658833026886,0.3569811501989292,0.22505504406091328,0.8724430400798271,0.2187832446070059,0.3100117096018735,0.7586040758086783,2.386301832555157,0.35791610532148266,0.1993200890743563,0.9246632296690503,0.3233539614173207,0.4028103044496487,0.7530187259000847,2.551528987391259,0.3569811501989292,0.22505504406091328,0.8724430400798271,0.2187832446070059,0.3100117096018735,0.7586040758086783,2.386301832555157,4128.0,0.38090559108628397,6013,-1,-8.110966766474563e-05,0.0
ml-1m,3,CEASE,alpha_T=1.0,500,1.0,0.0,0.0,130.14250493049622,0.35690906734052724,0.22518312539489377,0.8714452020621986,0.2185824206185149,0.3126463700234192,0.7602341306694422,2.386966059005094,0.3579653344414022,0.19947491928658206,0.9243306169965075,0.3232523295983305,0.40807962529274006,0.7552389478463806,2.553328090881918,0.35690906734052724,0.22518312539489377,0.8714452020621986,0.2185824206185149,0.3126463700234192,0.7602341306694422,2.386966059005094,158339.5,0.967607896817829,6013,-1,-0.00015319252606671368,0.0
ml-1m,3,CEASE,alpha_T=5.0,500,5.0,0.0,0.0,129.89656043052673,0.3573067482430783,0.22541809529214793,0.8722767337435556,0.21889228854095955,0.3158665105386417,0.760605866775832,2.3904555297463608,0.3586008482692659,0.19988117405616646,0.924496923332779,0.3239273155114076,0.4189110070257611,0.7586755832895486,2.5594287096187878,0.3573067482430783,0.22541809529214793,0.8722767337435556,0.21889228854095955,0.3158665105386417,0.760605866775832,2.3904555297463608,659803.5,0.1416346784358898,6013,1,0.00024448837648433487,0.0
ml-1m,3,AddEASE,"alpha=0.3,lambdaT=1.0",500,0.0,0.3,1.0,130.98789381980896,0.29615788573597157,0.17013056922481343,0.8446698819225013,0.19219285279337167,0.3588992974238876,0.7349035491074396,2.6836132665093957,0.297592297078132,0.15071028073420814,0.9091967403958091,0.27917891215942875,0.46692037470725994,0.7246514370379329,2.912567839195981,0.29615788573597157,0.17013056922481343,0.8446698819225013,0.19219285279337167,0.3588992974238876,0.7349035491074396,2.6836132665093957,2792615.0,3.969052420509687e-211,6013,-1,-0.060904374130622385,-0.015711895704843715
ml-1m,3,AddEASE,"alpha=0.5,lambdaT=1.0",500,0.0,0.5,1.0,132.20700812339783,0.33916203481456303,0.20702745962629804,0.8646266422750707,0.21223707559196373,0.3363583138173302,0.7432936210013206,2.5009742437966342,0.3395014626701139,0.18291022918861527,0.9205055712622651,0.30994553749126114,0.43823185011709603,0.7339094953585867,2.6941597453525814,0.33916203481456303,0.20702745962629804,0.8646266422750707,0.21223707559196373,0.3363583138173302,0.7432936210013206,2.5009742437966342,3470845.0,2.780529816855942e-49,6013,-1,-0.01790022505203091,0.0
ml-1m,3,AddEASE,"alpha=0.7,lambdaT=1.0",500,0.0,0.7,1.0,130.58480596542358,0.3535244247060218,0.22128891200060904,0.8714452020621986,0.2181638482246968,0.3225995316159251,0.7519840104456075,2.428471572258705,0.3546168875474352,0.19610626273928888,0.9239980043239647,0.32125929940204573,0.42066744730679156,0.7449549983386725,2.6047126095350497,0.3535244247060218,0.22128891200060904,0.8714452020621986,0.2181638482246968,0.3225995316159251,0.7519840104456075,2.428471572258705,2920254.5,6.380279193696049e-08,6013,-1,-0.003537835160572114,0.0
ml-1m,3,AddEASE,"alpha=0.3,lambdaT=10.0",500,0.0,0.3,10.0,130.50004959106445,0.30087718836463795,0.17390775333422415,0.8471644769665724,0.1943943718585031,0.35860655737704916,0.7371889341800248,2.65095910409878,0.302301039410749,0.15393712257075393,0.912023948112423,0.28324886685260436,0.46545667447306793,0.7266136055318297,2.874231876172372,0.30087718836463795,0.17390775333422415,0.8471644769665724,0.1943943718585031,0.35860655737704916,0.7371889341800248,2.65095910409878,2870185.5,2.6650169656421866e-195,6013,-1,-0.056185071501956015,-0.012801860032002232
ml-1m,3,AddEASE,"alpha=0.5,lambdaT=10.0",500,0.0,0.5,10.0,131.717458486557,0.34067138687047305,0.20841543304992535,0.8649592549476135,0.2127950189749045,0.3357728337236534,0.7456353141283105,2.4871410732051595,0.34137482303274164,0.18438867528143205,0.9210044902710793,0.3114752780148758,0.4370608899297424,0.7358525939945479,2.6785097391615325,0.34067138687047305,0.20841543304992535,0.8649592549476135,0.2127950189749045,0.3357728337236534,0.7456353141283105,2.4871410732051595,3452145.5,1.1134764628308993e-44,6013,-1,-0.016390872996120902,0.0
ml-1m,3,AddEASE,"alpha=0.7,lambdaT=10.0",500,0.0,0.7,10.0,130.46920442581177,0.35355576997086907,0.22130235530563094,0.8717778147347414,0.21810997689448017,0.321135831381733,0.7520242755706605,2.424177037313436,0.3545763486727882,0.19612646945414897,0.924496923332779,0.32115747059170285,0.42008196721311475,0.7459270998782546,2.5996225840550338,0.35355576997086907,0.22130235530563094,0.8717778147347414,0.21810997689448017,0.321135831381733,0.7520242755706605,2.424177037313436,2818261.5,8.819202599159091e-08,6013,-1,-0.0035064898957249072,0.0
ml-1m,4,EASE,baseline,500,0.0,0.0,0.0,132.89083051681519,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,0.36241559929929296,0.20251274440390268,0.9302364302364302,0.32716994336340544,0.3984192037470726,0.7506592966181505,2.5499964162059165,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,,,0,0,,
ml-1m,4,CEASE,alpha_T=0.1,500,0.1,0.0,0.0,129.76199316978455,0.36023523577294875,0.22636623132158842,0.873959373959374,0.22273824710750187,0.3114754098360656,0.7594045991602381,2.3828932809785663,0.36248183406310475,0.20257420900447926,0.9300699300699301,0.327253404853705,0.398711943793911,0.7507254003950041,2.550199816495847,0.36023523577294875,0.22636623132158842,0.873959373959374,0.22273824710750187,0.3114754098360656,0.7594045991602381,2.3828932809785663,3562.5,0.4357443592562512,6006,1,1.5264701670543552e-05,0.0
ml-1m,4,CEASE,alpha_T=1.0,500,1.0,0.0,0.0,129.7657859325409,0.36050293843578485,0.2265100188874282,0.8746253746253746,0.2230707645846814,0.31323185011709603,0.7599440746169719,2.3840408289990362,0.3628980531373437,0.2028470944773419,0.9300699300699301,0.3277177902859518,0.400175644028103,0.7509405371512174,2.5515732558708675,0.36050293843578485,0.2265100188874282,0.8746253746253746,0.2230707645846814,0.31323185011709603,0.7599440746169719,2.3840408289990362,151730.5,0.0884674402730207,6006,1,0.0002829673645066333,0.0
