dataset,seed,model,dropout,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,2,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,overall,6004,0.36350419814686324,0.21849931946007817,0.8724183877415057,0.36082289229437875,0.319823370642061,0.9327115256495669
ml-1m,2,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q1,5935,0.3871675972825649,0.2857524125721604,0.8796967144060657,0.4013656201136321,0.41676569933961577,0.9385004212299916
ml-1m,2,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q2,4474,0.005870032567205008,0.011371722388792315,0.02101028162717926,0.01016294087001607,0.0244024498915639,0.04962002682163612
ml-1m,2,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q3,2899,0.00046906539739184844,0.0007282204591621632,0.0010348395998620215,0.0011622074514219538,0.00303744586255797,0.005174197999310107
ml-1m,2,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q4,1585,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,overall,6004,0.36289000814976946,0.21775111414562515,0.8719187208527648,0.35991566978173867,0.31860866820408007,0.9318787475016655
ml-1m,2,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q1,5935,0.3864660773489968,0.28472662466746185,0.879022746419545,0.4003653845944812,0.41517679943798097,0.9374894692502106
ml-1m,2,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q2,4474,0.0057445688892785755,0.011259965571626467,0.020786767992847562,0.00996511249926225,0.02415552054315936,0.04894948591864104
ml-1m,2,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q3,2899,0.0003693534876581858,0.0003832739258748228,0.0006898930665746809,0.0011230398618558917,0.0029799547736767467,0.004829251466022766
ml-1m,2,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q4,1585,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,overall,6004,0.36035060191289126,0.2153811375566765,0.8689207195203198,0.35692777481319143,0.31533817314950185,0.9312125249833444
ml-1m,2,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q1,5935,0.38389845779659115,0.28194005004330924,0.8763268744734625,0.3973927162187101,0.41170968887579557,0.9371524852569503
