dataset,seed,model,dropout,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,1,EDLAE-Laplacian,0.5,0.1,rp3beta,none,overall,6006,0.36797435305429493,0.2234431433527043,0.8756243756243757,0.36810973322363066,0.328790844617686,0.9340659340659341
ml-1m,1,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q1,5944,0.3905266105347462,0.2902677204301104,0.8787012113055181,0.4069718554726689,0.42350386606012186,0.9359017496635262
ml-1m,1,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q2,4502,0.008566573042239421,0.016518063149427883,0.0346512661039538,0.016425158797485278,0.0408037862976741,0.08818302976454909
ml-1m,1,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q3,2861,0.0009503508263014989,0.002155423511592683,0.0031457532331352674,0.002573395562774316,0.007856615790904502,0.01258301293254107
ml-1m,1,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q4,1641,0.0,0.0,0.0,0.00010097243495748296,0.0003046922608165753,0.0006093845216331506
ml-1m,1,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.5,0.3,rp3beta,none,overall,6006,0.3674803633229826,0.22299522482650413,0.8752913752913752,0.36742439814908207,0.32777222271211964,0.9337329337329338
ml-1m,1,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q1,5944,0.3901216897102918,0.28996564087586374,0.8787012113055181,0.4063521387258893,0.4226612819577907,0.9357335127860027
ml-1m,1,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q2,4502,0.008222170016653568,0.015665746309479815,0.033096401599289206,0.01603852233980049,0.03986747396194325,0.08529542425588628
ml-1m,1,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q3,2861,0.0008959286473495322,0.0020389141325876732,0.0027962250961202375,0.002272752764016802,0.006633267311351898,0.011534428521495981
ml-1m,1,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q4,1641,0.0,0.0,0.0,9.563677292987808e-05,0.0003046922608165753,0.0006093845216331506
ml-1m,1,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.5,1.0,rp3beta,none,overall,6006,0.3673860537710125,0.22297383286186617,0.8752913752913752,0.3659902658771468,0.32571533793272284,0.9327339327339327
ml-1m,1,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q1,5944,0.39038878808785965,0.2904206572357284,0.8788694481830417,0.4053165889166748,0.4206502825543877,0.9352288021534321
ml-1m,1,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q2,4502,0.007832637113690416,0.01527342428232882,0.0308751665926255,0.014705120235752444,0.03639310711267285,0.07729897823189694
ml-1m,1,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q3,2861,0.0007513932326051185,0.0016893859955726435,0.002446696959105208,0.001897897974343769,0.005497300866053051,0.009786787836420832
ml-1m,1,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q4,1641,0.0,0.0,0.0,9.141181786004744e-05,0.0003046922608165753,0.0006093845216331506
ml-1m,1,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.5,3.0,rp3beta,none,overall,6006,0.3618670775660286,0.2177308943825103,0.8691308691308691,0.3601121618678838,0.31883872244094325,0.9305694305694305
ml-1m,1,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q1,5944,0.3849664482957677,0.28465189145922054,0.8739905787348586,0.3995362680817815,0.4133181286769068,0.9340511440107672
ml-1m,1,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q2,4502,0.006450329122384432,0.012151347899348786,0.024655708573967126,0.012498857766950549,0.031070531472193342,0.06241670368725011
ml-1m,1,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q3,2861,0.00027776616053925586,0.00029127344751252475,0.0006990562740300594,0.001594803961756206,0.004938055846829003,0.009087731562390773
ml-1m,1,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q4,1641,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.5,10.0,rp3beta,none,overall,6006,0.3491698698096236,0.20723152626062916,0.8576423576423576,0.3457316819197879,0.3029363708084125,0.9187479187479187
ml-1m,1,EDLAE-Laplacian,0.5,10.0,rp3beta,none,q1,5944,0.37184173260048053,0.27165934189091806,0.8640646029609691,0.38490772177457183,0.3956051805774768,0.923956931359354
ml-1m,1,EDLAE-Laplacian,0.5,10.0,rp3beta,none,q2,4502,0.0043239411180171685,0.007867903666992962,0.016215015548645045,0.007940654431149894,0.01927750312829081,0.036206130608618395
ml-1m,1,EDLAE-Laplacian,0.5,10.0,rp3beta,none,q3,2861,0.00010715609800165298,0.00017476406850751484,0.0003495281370150297,0.0004038782991341565,0.0011942211348013514,0.0027962250961202375
ml-1m,1,EDLAE-Laplacian,0.5,10.0,rp3beta,none,q4,1641,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.5,10.0,rp3beta,none,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EASE,0.0,0.0,,,overall,6004,0.35886470515172914,0.2220393416816548,0.8794137241838774,0.3618476700911453,0.32899075921234416,0.9390406395736176
ml-1m,2,EASE,0.0,0.0,,,q1,5935,0.37902812893179005,0.28612547104598174,0.8828980623420387,0.39712320949052954,0.41959639568701584,0.9415332771693344
ml-1m,2,EASE,0.0,0.0,,,q2,4474,0.012509034903147354,0.02314072548323651,0.05364327223960662,0.022497243045295677,0.05310831455626426,0.13008493518104605
ml-1m,2,EASE,0.0,0.0,,,q3,2899,0.0018512851773931534,0.004285002491280518,0.006553984132459468,0.0037454383948627677,0.010479288875490406,0.017592273197654364
ml-1m,2,EASE,0.0,0.0,,,q4,1585,0.00018992428748516163,0.0006309148264984228,0.0006309148264984228,0.0004371601877160728,0.0015772870662460567,0.0018927444794952682
