model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Score,0.5,200,0.6,200,q4,1767,0.0,0.0,0.0,0.00023954910018893666,0.0008488964346349745,0.0011318619128466328
Hybrid-Score,0.5,200,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.6,200,overall,5957,0.113546145571816,0.08883031191760168,0.5118348161826423,0.12944015948294793,0.15111220007538842,0.6812153768675507
Hybrid-Score,0.7,200,0.6,200,q1,5787,0.12455635339360148,0.12128206808634442,0.5158113011923277,0.14712065644022132,0.20106100657109843,0.6811819595645412
Hybrid-Score,0.7,200,0.6,200,q2,4520,0.007370137225134011,0.013912302436957222,0.02676991150442478,0.013697222672688854,0.03419748885904853,0.07212389380530973
Hybrid-Score,0.7,200,0.6,200,q3,3059,0.0020848059586047606,0.004331480876103301,0.006864988558352402,0.003776330138425798,0.010172169554320584,0.015364498202026806
Hybrid-Score,0.7,200,0.6,200,q4,1767,0.0,0.0,0.0,0.00023615081782327668,0.0008488964346349745,0.0011318619128466328
Hybrid-Score,0.7,200,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,500,0.3,200,overall,5957,0.12252416601031475,0.09151263085046249,0.5336578814839684,0.13788853980396407,0.15638858407498776,0.7010240053718314
Hybrid-Score,0.3,500,0.3,200,q1,5787,0.1358070804911843,0.1268702035572146,0.5439778814584413,0.15967389096648688,0.21380167095655314,0.7114221531017798
Hybrid-Score,0.3,500,0.3,200,q2,4520,0.003866011607316409,0.007915102350943058,0.012610619469026548,0.0070777406939012116,0.018984428159628162,0.030973451327433628
Hybrid-Score,0.3,500,0.3,200,q3,3059,0.000942732123677312,0.002315571537539501,0.0032690421706440013,0.0017990445152888496,0.005175983436853002,0.007518796992481203
Hybrid-Score,0.3,500,0.3,200,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,500,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,500,0.3,200,overall,5957,0.11910143085561431,0.0910364854652495,0.524928655363438,0.13496138367110555,0.15593006349364125,0.6929662581836495
Hybrid-Score,0.5,500,0.3,200,q1,5787,0.13210598806828439,0.126657419440696,0.5330914117850354,0.15596992165556137,0.21219148212620065,0.7003628823224468
Hybrid-Score,0.5,500,0.3,200,q2,4520,0.004940527081746357,0.01005974029038017,0.017035398230088497,0.009223677436364212,0.024495553949383166,0.04269911504424779
Hybrid-Score,0.5,500,0.3,200,q3,3059,0.0012018575219763948,0.002914895935490901,0.004576659038901602,0.0024329888294908905,0.007164650757328102,0.010134030728996404
Hybrid-Score,0.5,500,0.3,200,q4,1767,0.0,0.0,0.0,0.00013571729856713723,0.0005659309564233164,0.0005659309564233164
Hybrid-Score,0.5,500,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
